,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address
684,Long Beach City College,Pacific Coast Campus,1305 East Pacific Coast Highway,Long Beach,CA,90806,4,"Public, 2-year",11199.0,13505.0,24704.0,0,0,1,0,"Long Beach City College, 1305 East Pacific Coast Highway, Long Beach, CA, 90806"
697,Los Medanos College,Main Campus,2700 East LELAND Road,PITTSBURG,CA,94565,4,"Public, 2-year",3969.0,4759.0,8728.0,0,0,1,1,"Los Medanos College, 2700 East LELAND Road, PITTSBURG, CA, 94565"
718,Merced College,Merced Community College District,3600 M ST,MERCED,CA,953482898,4,"Public, 2-year",4531.0,6219.0,10750.0,1,0,0,0,"Merced College, 3600 M ST, MERCED, CA, 953482898"
740,Mt San Jacinto Community College District,San Jacinto Campus,1499 N STATE ST,SAN JACINTO,CA,925832399,4,"Public, 2-year",6417.0,9080.0,15497.0,0,1,0,2,"Mt San Jacinto Community College District, 1499 N STATE ST, SAN JACINTO, CA, 925832399"
741,Mt San Jacinto Community College District,Menifee Valley Campus,28237 La Piedra Road,Menifee,CA,92584,4,"Public, 2-year",6417.0,9080.0,15497.0,0,0,0,1,"Mt San Jacinto Community College District, 28237 La Piedra Road, Menifee, CA, 92584"
751,National Holistic Institute,Studio City Branch Campus,10969 Ventura Blvd,Studio City,CA,91604,9,"Private for-profit, less-than 2-year",314.0,605.0,919.0,0,1,0,0,"National Holistic Institute, 10969 Ventura Blvd, Studio City, CA, 91604"
753,National Holistic Institute,Sacramento Branch Campus,"1610 Arden Way, Suite 110",Sacramento,CA,95815,9,"Private for-profit, less-than 2-year",314.0,605.0,919.0,0,0,1,0,"National Holistic Institute, 1610 Arden Way, Suite 110, Sacramento, CA, 95815"
754,National Holistic Institute,Santa Ana Branch Campus,201 E. Sandpointe Ave. Suite 100,Santa Ana,CA,91707,9,"Private for-profit, less-than 2-year",314.0,605.0,919.0,0,0,0,1,"National Holistic Institute, 201 E. Sandpointe Ave. Suite 100, Santa Ana, CA, 91707"
875,Sacramento City College,Main Campus,3835 FREEPORT BLVD,SACRAMENTO,CA,958221386,4,"Public, 2-year",9291.0,12751.0,22042.0,0,0,0,1,"Sacramento City College, 3835 FREEPORT BLVD, SACRAMENTO, CA, 958221386"
877,Sacramento City College,West Sacramento Center,1115 West Capitol Ave,West Sacramento,CA,95691,4,"Public, 2-year",9291.0,12751.0,22042.0,0,1,0,0,"Sacramento City College, 1115 West Capitol Ave, West Sacramento, CA, 95691"
911,San Joaquin Valley College-Visalia,Modesto Campus,5380 Pirrone Road,Salida,CA,95368,6,"Private for-profit, 2-year",1651.0,3902.0,5553.0,0,0,1,0,"San Joaquin Valley College-Visalia, 5380 Pirrone Road, Salida, CA, 95368"
913,San Joaquin Valley College-Visalia,Hesperia Campus,9331 Mariposa Rd,Hesperia,CA,92344,6,"Private for-profit, 2-year",1651.0,3902.0,5553.0,0,0,0,1,"San Joaquin Valley College-Visalia, 9331 Mariposa Rd, Hesperia, CA, 92344"
915,San Joaquin Valley College-Visalia,Bakersfield Campus,201 NEW STINE RD,BAKERSFIELD,CA,93309,6,"Private for-profit, 2-year",1651.0,3902.0,5553.0,0,0,0,1,"San Joaquin Valley College-Visalia, 201 NEW STINE RD, BAKERSFIELD, CA, 93309"
928,Santa Barbara Business College-Bakersfield,Santa Barbara Business College - Rancho Mirage Campus,34275 Monterey Ave,Rancho Mirage,CA,92270,3,"Private for-profit, 4-year or above",118.0,304.0,422.0,0,0,0,1,"Santa Barbara Business College-Bakersfield, 34275 Monterey Ave, Rancho Mirage, CA, 92270"
929,Santa Barbara Business College-Santa Maria,Santa Barbara Business College - Santa Maria Campus,303 E. Plaza Dr. Ste 1,Santa Maria,CA,93454,3,"Private for-profit, 4-year or above",27.0,77.0,104.0,0,0,0,1,"Santa Barbara Business College-Santa Maria, 303 E. Plaza Dr. Ste 1, Santa Maria, CA, 93454"
940,Scripps College,Main Campus,1030 N COLUMBIA AVE,CLAREMONT,CA,917113905,2,"Private nonprofit, 4-year or above",15.0,1042.0,1057.0,4,1,0,0,"Scripps College, 1030 N COLUMBIA AVE, CLAREMONT, CA, 917113905"
982,University of Southern California,University Park Campus,University Park,Los Angeles,CA,900895012,2,"Private nonprofit, 4-year or above",20621.0,23250.0,43871.0,10,7,2,2,"University of Southern California, University Park, Los Angeles, CA, 900895012"
983,University of Southern California,Health Sciences Campus,University of Southern California,Los Angeles,CA,90033,2,"Private nonprofit, 4-year or above",20621.0,23250.0,43871.0,1,3,0,0,"University of Southern California, University of Southern California, Los Angeles, CA, 90033"
1011,West Valley College,WEST VALLEY COLLEGE,14000 FRUITVALE AVE,SARATOGA,CA,950705698,4,"Public, 2-year",3706.0,4557.0,8263.0,0,0,0,2,"West Valley College, 14000 FRUITVALE AVE, SARATOGA, CA, 950705698"
1037,University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver - Downtown,1380 Lawrence Street,DENVER,CO,80204,1,"Public, 4-year or above",10164.0,13796.0,23960.0,2,2,4,4,"University of Colorado Denver/Anschutz Medical Campus, 1380 Lawrence Street, DENVER, CO, 80204"
1038,University of Colorado Denver/Anschutz Medical Campus,CU Denver - Anschutz Medical Campus,13001 E. 17th Pl.,Aurora,CO,80045,1,"Public, 4-year or above",10164.0,13796.0,23960.0,0,2,0,1,"University of Colorado Denver/Anschutz Medical Campus, 13001 E. 17th Pl., Aurora, CO, 80045"
1043,Colorado College,Colorado College,14 E CACHE LA POUDRE,COLORADO SPRINGS,CO,80903,2,"Private nonprofit, 4-year or above",966.0,1148.0,2114.0,14,0,0,0,"Colorado College, 14 E CACHE LA POUDRE, COLORADO SPRINGS, CO, 80903"
1088,Northeastern Junior College,Main Campus,100 COLLEGE AVE,STERLING,CO,80751,4,"Public, 2-year",720.0,925.0,1645.0,1,0,0,0,"Northeastern Junior College, 100 COLLEGE AVE, STERLING, CO, 80751"
1093,Otero Junior College,Main Campus,1802 COLORADO AVE,LA JUNTA,CO,81050,4,"Public, 2-year",670.0,794.0,1464.0,2,0,0,4,"Otero Junior College, 1802 COLORADO AVE, LA JUNTA, CO, 81050"
1096,Pikes Peak Community College,Rampart Range Campus,11195 Highway 83,Colorado Springs,CO,809213602,4,"Public, 2-year",5631.0,7523.0,13154.0,0,1,0,0,"Pikes Peak Community College, 11195 Highway 83, Colorado Springs, CO, 809213602"
1097,Pikes Peak Community College,Downtown Studio Campus,100 West Pikes Peak Avenue,Colorado Springs,CO,809031503,4,"Public, 2-year",5631.0,7523.0,13154.0,0,1,0,0,"Pikes Peak Community College, 100 West Pikes Peak Avenue, Colorado Springs, CO, 809031503"
1114,Intellitec College-Grand Junction,INTELLITEC COLLEGE - PUEBLO,3673 Parker Blvd.,Pueblo,CO,81008,6,"Private for-profit, 2-year",434.0,508.0,942.0,0,1,0,0,"Intellitec College-Grand Junction, 3673 Parker Blvd., Pueblo, CO, 81008"
1115,Intellitec College-Grand Junction,INTELLITEC COLLEGE - Albuquerque,5001 Montgomery Blvd. NE Suite A24,Albuquerque,NM,87109,6,"Private for-profit, 2-year",434.0,508.0,942.0,0,0,0,1,"Intellitec College-Grand Junction, 5001 Montgomery Blvd. NE Suite A24, Albuquerque, NM, 87109"
1124,Branford Hall Career Institute-Branford Campus,Main Campus,1 SUMMIT PLACE,BRANFORD,CT,064054103,9,"Private for-profit, less-than 2-year",103.0,271.0,374.0,0,0,0,1,"Branford Hall Career Institute-Branford Campus, 1 SUMMIT PLACE, BRANFORD, CT, 064054103"
1133,University of Connecticut,Main Campus,126 North Eagleville Road,STORRS,CT,062693070,1,"Public, 4-year or above",13712.0,14009.0,27721.0,24,12,3,0,"University of Connecticut, 126 North Eagleville Road, STORRS, CT, 062693070"
1134,University of Connecticut,University of Connecticut School of Medicine and Dentistry,263 Farmington Ave.,Farmington,CT,06030,1,"Public, 4-year or above",13712.0,14009.0,27721.0,1,0,0,0,"University of Connecticut, 263 Farmington Ave., Farmington, CT, 06030"
1182,University of Saint Joseph,West Hartford Campus,1678 ASYLUM AVE,WEST HARTFORD,CT,061172791,2,"Private nonprofit, 4-year or above",309.0,2158.0,2467.0,0,0,1,1,"University of Saint Joseph, 1678 ASYLUM AVE, WEST HARTFORD, CT, 061172791"
1194,Western Connecticut State University,Mid Town Campus,181 WHITE ST,DANBURY,CT,068106860,1,"Public, 4-year or above",2651.0,3070.0,5721.0,1,0,0,0,"Western Connecticut State University, 181 WHITE ST, DANBURY, CT, 068106860"
1195,Western Connecticut State University,West Side Campus,43 Lake Ave. Extension,Danbury,CT,068106860,1,"Public, 4-year or above",2651.0,3070.0,5721.0,1,0,0,0,"Western Connecticut State University, 43 Lake Ave. Extension, Danbury, CT, 068106860"
1245,George Washington University,Main Campus,2121 EYE ST NW,WASHINGTON,DC,20052,2,"Private nonprofit, 4-year or above",11267.0,15892.0,27159.0,25,11,14,6,"George Washington University, 2121 EYE ST NW, WASHINGTON, DC, 20052"
1246,George Washington University,Mount Vernon Campus,2100 Foxhall Road,Washington,DC,20007,2,"Private nonprofit, 4-year or above",11267.0,15892.0,27159.0,7,1,1,1,"George Washington University, 2100 Foxhall Road, Washington, DC, 20007"
1247,George Washington University,Virginia Science and Technology Campus,20101 Academic Way,Ashburn,VA,201472604,2,"Private nonprofit, 4-year or above",11267.0,15892.0,27159.0,0,1,0,0,"George Washington University, 20101 Academic Way, Ashburn, VA, 201472604"
1252,Georgetown University,Georgetown University Main Campus,37TH AND O ST NW,WASHINGTON,DC,20057,2,"Private nonprofit, 4-year or above",8518.0,10007.0,18525.0,11,12,1,2,"Georgetown University, 37TH AND O ST NW, WASHINGTON, DC, 20057"
1253,Georgetown University,Georgetown University Law Center,"600 New Jersey Avenue, N.W.",Washington,DC,20001,2,"Private nonprofit, 4-year or above",8518.0,10007.0,18525.0,0,0,0,2,"Georgetown University, 600 New Jersey Avenue, N.W., Washington, DC, 20001"
1255,Georgetown University,"Education City, Doha, Qatar","P.O Box  23689  -  Doha, Qatar",Doha,,20057,2,"Private nonprofit, 4-year or above",8518.0,10007.0,18525.0,0,1,0,0,
1280,Eastern Florida State College,Eastern Florida State College-Cocoa,1519 CLEARLAKE RD,COCOA,FL,32922,1,"Public, 4-year or above",6409.0,9416.0,15825.0,0,2,0,0,"Eastern Florida State College, 1519 CLEARLAKE RD, COCOA, FL, 32922"
1281,Eastern Florida State College,Eastern Florida State College -Melbourne Campus,3865 North Wickham Rd,Melbourne,FL,32935,1,"Public, 4-year or above",6409.0,9416.0,15825.0,0,1,0,0,"Eastern Florida State College, 3865 North Wickham Rd, Melbourne, FL, 32935"
1284,Broward College,Central Campus,3501 SW Davie Rd,Davie,FL,33314,1,"Public, 4-year or above",17867.0,25833.0,43700.0,0,4,0,0,"Broward College, 3501 SW Davie Rd, Davie, FL, 33314"
1286,Broward College,South Campus,7200 PINES BOULEVARD,PEMBROKE PINES,FL,33024,1,"Public, 4-year or above",17867.0,25833.0,43700.0,0,0,1,1,"Broward College, 7200 PINES BOULEVARD, PEMBROKE PINES, FL, 33024"
1294,College of Central Florida,Main Campus,3001 SW COLLEGE RD,OCALA,FL,344744415,1,"Public, 4-year or above",2779.0,4596.0,7375.0,0,2,0,1,"College of Central Florida, 3001 SW COLLEGE RD, OCALA, FL, 344744415"
1297,College of Central Florida,Citrus Campus,3800 S. Lecanto Hwy.,Lecanto,FL,344619026,1,"Public, 4-year or above",2779.0,4596.0,7375.0,0,2,0,0,"College of Central Florida, 3800 S. Lecanto Hwy., Lecanto, FL, 344619026"
1300,University of Central Florida,Main Campus,4000 Central Florida Blvd.,ORLANDO,FL,32816,1,"Public, 4-year or above",28931.0,35157.0,64088.0,13,2,4,5,"University of Central Florida, 4000 Central Florida Blvd., ORLANDO, FL, 32816"
1305,University of Central Florida,UCF Cocoa,"1519 Clearlake Road, Building 3",Cocoa,FL,32922,1,"Public, 4-year or above",28931.0,35157.0,64088.0,0,2,0,0,"University of Central Florida, 1519 Clearlake Road, Building 3, Cocoa, FL, 32922"
1306,University of Central Florida,UCF Daytona Beach,1200 W. International Speedway Blvd,Daytona Beach,FL,32114,1,"Public, 4-year or above",28931.0,35157.0,64088.0,1,0,0,0,"University of Central Florida, 1200 W. International Speedway Blvd, Daytona Beach, FL, 32114"
1307,University of Central Florida,Rosen College of Hospitality Management,9907 Universal Blvd.,Orlando,FL,32819,1,"Public, 4-year or above",28931.0,35157.0,64088.0,1,0,0,0,"University of Central Florida, 9907 Universal Blvd., Orlando, FL, 32819"
1311,University of Central Florida,UCF Leesburg,9501 U.S. Highway 441,Leesburg,FL,34788,1,"Public, 4-year or above",28931.0,35157.0,64088.0,1,0,0,0,"University of Central Florida, 9501 U.S. Highway 441, Leesburg, FL, 34788"
1313,University of Central Florida,UCF Sanford/Lake Mary,"100 Weldon Blvd, Partnership Center",Sanford,FL,32773,1,"Public, 4-year or above",28931.0,35157.0,64088.0,0,0,0,1,"University of Central Florida, 100 Weldon Blvd, Partnership Center, Sanford, FL, 32773"
1329,Florida SouthWestern State College,Main Campus,8099 College Parkway,Fort Myers,FL,33919,1,"Public, 4-year or above",6417.0,10210.0,16627.0,1,0,1,0,"Florida SouthWestern State College, 8099 College Parkway, Fort Myers, FL, 33919"
1330,Florida SouthWestern State College,Charlotte County Campus,26300 AIRPORT RD,PUNTA GORDA,FL,33950,1,"Public, 4-year or above",6417.0,10210.0,16627.0,0,1,0,0,"Florida SouthWestern State College, 26300 AIRPORT RD, PUNTA GORDA, FL, 33950"
1343,Florida State College at Jacksonville,Downtown,101 W STATE ST,JACKSONVILLE,FL,32202,1,"Public, 4-year or above",9585.0,14493.0,24078.0,0,0,0,1,"Florida State College at Jacksonville, 101 W STATE ST, JACKSONVILLE, FL, 32202"
1345,Florida State College at Jacksonville,North,4501 CAPPER ROAD,JACKSONVILLE,FL,32218,1,"Public, 4-year or above",9585.0,14493.0,24078.0,0,0,0,1,"Florida State College at Jacksonville, 4501 CAPPER ROAD, JACKSONVILLE, FL, 32218"
1346,Florida State College at Jacksonville,South,11901 BEACH BLVD,JACKSONVILLE,FL,32246,1,"Public, 4-year or above",9585.0,14493.0,24078.0,0,1,0,0,"Florida State College at Jacksonville, 11901 BEACH BLVD, JACKSONVILLE, FL, 32246"
1347,Florida State College at Jacksonville,Deerwood,9911 OLD BAYMEADOWS ROAD,JACKSONVILLE,FL,32256,1,"Public, 4-year or above",9585.0,14493.0,24078.0,0,0,0,1,"Florida State College at Jacksonville, 9911 OLD BAYMEADOWS ROAD, JACKSONVILLE, FL, 32256"
1377,Florida International University,Modesto A. Maidique Campus,11200 S.W. 8 Street,MIAMI,FL,331990001,1,"Public, 4-year or above",23753.0,31250.0,55003.0,7,4,7,2,"Florida International University, 11200 S.W. 8 Street, MIAMI, FL, 331990001"
1378,Florida International University,Biscayne Bay Campus,3000 NE 15th St,Miami,FL,33181,1,"Public, 4-year or above",23753.0,31250.0,55003.0,1,0,0,0,"Florida International University, 3000 NE 15th St, Miami, FL, 33181"
1387,Florida Memorial University,Main Campus,15800 NW 42 AVE,Miami Gardens,FL,330546199,2,"Private nonprofit, 4-year or above",486.0,853.0,1339.0,2,0,1,1,"Florida Memorial University, 15800 NW 42 AVE, Miami Gardens, FL, 330546199"
1388,Florida Career College-Miami,Main - Miami Campus,1321 SW 107 Ave Ste. 201B,MIAMI,FL,33174,6,"Private for-profit, 2-year",138.0,202.0,340.0,0,0,1,0,"Florida Career College-Miami, 1321 SW 107 Ave Ste. 201B, MIAMI, FL, 33174"
1390,Florida Southern College,Main Campus,111 LAKE HOLLINGSWORTH DR,LAKELAND,FL,338015698,2,"Private nonprofit, 4-year or above",1010.0,1967.0,2977.0,2,0,0,0,"Florida Southern College, 111 LAKE HOLLINGSWORTH DR, LAKELAND, FL, 338015698"
1412,Hillsborough Community College,Dale Mabry Campus,4001 Tampa Bay Blvd.,TAMPA,FL,33614,4,"Public, 2-year",11582.0,15479.0,27061.0,0,1,0,1,"Hillsborough Community College, 4001 Tampa Bay Blvd., TAMPA, FL, 33614"
1413,Hillsborough Community College,Ybor City Campus,2001 14th Street,Tampa,FL,336755096,4,"Public, 2-year",11582.0,15479.0,27061.0,0,1,2,0,"Hillsborough Community College, 2001 14th Street, Tampa, FL, 336755096"
1435,Keiser University-Ft Lauderdale,Keiser University - Orlando Campus,5600 Lake Underhill Road,Orlando,FL,328070000,2,"Private nonprofit, 4-year or above",6119.0,13569.0,19688.0,0,1,0,0,"Keiser University-Ft Lauderdale, 5600 Lake Underhill Road, Orlando, FL, 328070000"
1449,Keiser University-Ft Lauderdale,Keiser University-San Marcos Nicaragua,"De Texaco 2C, SUR",San Marcos,,,2,"Private nonprofit, 4-year or above",6119.0,13569.0,19688.0,1,0,1,0,
1474,Miami Dade College,Kendall Campus,11011 SW 104 St,Miami,FL,331763393,1,"Public, 4-year or above",23611.0,31595.0,55206.0,0,1,0,1,"Miami Dade College, 11011 SW 104 St, Miami, FL, 331763393"
1477,Miami Dade College,InterAmerican Campus,627 SW 27 Avenue,Miami,FL,331352937,1,"Public, 4-year or above",23611.0,31595.0,55206.0,0,1,0,0,"Miami Dade College, 627 SW 27 Avenue, Miami, FL, 331352937"
1480,University of Miami,Coral Gables Campus,"5665 Ponce De Leon Boulevard, Office # 116",Coral Gables,FL,33146,2,"Private nonprofit, 4-year or above",8061.0,8683.0,16744.0,1,1,0,1,"University of Miami, 5665 Ponce De Leon Boulevard, Office # 116, Coral Gables, FL, 33146"
1481,University of Miami,Medical Campus,"1051 N.W. 14 Street, Suite 145",Miami,FL,33136,2,"Private nonprofit, 4-year or above",8061.0,8683.0,16744.0,1,0,0,3,"University of Miami, 1051 N.W. 14 Street, Suite 145, Miami, FL, 33136"
1488,Nova Southeastern University,Nova Southeastern University - Main Campus,3301 College Ave.,Ft. Lauderdale-Davie,FL,333147796,2,"Private nonprofit, 4-year or above",6568.0,15057.0,21625.0,0,10,0,0,"Nova Southeastern University, 3301 College Ave., Ft. Lauderdale-Davie, FL, 333147796"
1489,Nova Southeastern University,Nova Southeastern University - North Miami Beach,1750 N. E. 167th Street,North Miami Beach,FL,331623017,2,"Private nonprofit, 4-year or above",6568.0,15057.0,21625.0,0,0,1,0,"Nova Southeastern University, 1750 N. E. 167th Street, North Miami Beach, FL, 331623017"
1491,Nova Southeastern University,Nova Southeastern University - Miami-Kendall,8585 SW 124 Ave,Kendall,FL,331834600,2,"Private nonprofit, 4-year or above",6568.0,15057.0,21625.0,0,0,0,1,"Nova Southeastern University, 8585 SW 124 Ave, Kendall, FL, 331834600"
1521,Polk State College,Winter Haven Campus,999 Ave. H NE,Winter Haven,FL,338814299,1,"Public, 4-year or above",4197.0,7167.0,11364.0,0,0,1,0,"Polk State College, 999 Ave. H NE, Winter Haven, FL, 338814299"
1522,Polk State College,Lakeland Campus,3425 Winter Lake Road,Lakeland,FL,33803,1,"Public, 4-year or above",4197.0,7167.0,11364.0,0,1,0,0,"Polk State College, 3425 Winter Lake Road, Lakeland, FL, 33803"
1534,Rollins College,Main Campus,1000 HOLT AVE,WINTER PARK,FL,327894499,2,"Private nonprofit, 4-year or above",1333.0,1907.0,3240.0,16,5,1,2,"Rollins College, 1000 HOLT AVE, WINTER PARK, FL, 327894499"
1596,Tallahassee Community College,Main Campus,444 APPLEYARD DR,TALLAHASSEE,FL,323042895,4,"Public, 2-year",5687.0,6513.0,12200.0,1,0,0,0,"Tallahassee Community College, 444 APPLEYARD DR, TALLAHASSEE, FL, 323042895"
1598,Tallahassee Community College,Ghazvini Center for Healthcare Education,1528 Surgeons Drive,Tallahassee,FL,32308,4,"Public, 2-year",5687.0,6513.0,12200.0,1,0,0,0,"Tallahassee Community College, 1528 Surgeons Drive, Tallahassee, FL, 32308"
