,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
58,University of West Alabama,University of West Alabama,STATION 1,LIVINGSTON,AL,35470,1,"Public, 4-year or above",1270.0,2716.0,3986.0,0,1,0,1,"University of West Alabama, STATION 1, LIVINGSTON, AL 35470","[32.5971376, -88.1869512]",32.5971376,-88.1869512
62,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",333.0,92.0,425.0,1,1,0,0,"Marion Military Institute, 1101 Washington St., Marion, AL 36756","[32.623738, -87.322018]",32.623738,-87.322018
63,Miles College,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",916.0,904.0,1820.0,0,1,5,6,"Miles College, 5500 Myron Massey Blvd, Fairfield, AL 35064","[33.480831, -86.90826799999999]",33.480831,-86.908268
65,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",870.0,1928.0,2798.0,0,3,0,0,"University of Montevallo, STATION 6001, MONTEVALLO, AL 35115","[33.1067187, -86.86541679999999]",33.1067187,-86.8654168
68,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 4-year or above",2961.0,4372.0,7333.0,2,1,1,1,"University of North Alabama, 1 Harrison Plaza- UNA Box 5067, FLORENCE, AL 356320001","[34.807113, -87.6791409]",34.807113,-87.6791409
71,Oakwood University,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 4-year or above",744.0,1050.0,1794.0,0,0,1,2,"Oakwood University, 7000 ADVENTIST BLVD NW, HUNTSVILLE, AL 358960003","[34.7517708, -86.6558345]",34.7517708,-86.6558345
89,University of South Alabama,Main Campus,307 N UNIVERSITY BLVD,MOBILE,AL,366880002,1,"Public, 4-year or above",6516.0,9927.0,16443.0,8,2,1,0,"University of South Alabama, 307 N UNIVERSITY BLVD, MOBILE, AL 366880002","[30.6959406, -88.184236]",30.6959406,-88.184236
91,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 4-year or above",556.0,920.0,1476.0,2,0,0,0,"Spring Hill College, 4000 DAUPHIN ST, MOBILE, AL 366081791","[30.6919256, -88.13573439999999]",30.6919256,-88.1357344
93,Talladega College,Talladega College Main Campus,627 W BATTLE ST,TALLADEGA,AL,35160,2,"Private nonprofit, 4-year or above",352.0,323.0,675.0,1,0,0,1,"Talladega College, 627 W BATTLE ST, TALLADEGA, AL 35160","[33.4327519, -86.1135613]",33.4327519,-86.1135613
98,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368,1,"Public, 4-year or above",6871.0,10984.0,17855.0,0,0,1,0,"Troy University, 501 University Drive, Dothan, AL 363040368","[31.2815447, -85.4713368]",31.2815447,-85.4713368
123,University of Alaska Southeast,Main Campus/Auke Bay,11066 Auke Lake Way,JUNEAU,AK,99801,1,"Public, 4-year or above",804.0,1759.0,2563.0,0,2,0,0,"University of Alaska Southeast, 11066 Auke Lake Way, JUNEAU, AK 99801","[58.38495499999999, -134.6402829]",58.384955,-134.6402829
142,Alaska Career College,Main Campus,1415 E Tudor Road,Anchorage,AK,995071033,6,"Private for-profit, 2-year",73.0,351.0,424.0,0,0,2,0,"Alaska Career College, 1415 E Tudor Road, Anchorage, AK 995071033","[61.1813966, -149.856966]",61.1813966,-149.856966
144,Thunderbird School of Global Management,MAIN CAMPUS,1 Global Place,GLENDALE,AZ,853066000,1,"Public, 4-year or above",167.0,130.0,297.0,1,1,0,0,"Thunderbird School of Global Management, 1 Global Place, GLENDALE, AZ 853066000","[33.6208397, -112.1809319]",33.6208397,-112.1809319
155,Arizona State University-Tempe,Tempe Campus,325 E. Apache Blvd.,TEMPE,AZ,852871812,1,"Public, 4-year or above",29828.0,22041.0,51869.0,19,13,6,8,"Arizona State University-Tempe, 325 E. Apache Blvd., TEMPE, AZ 852871812","[33.4158205, -111.9271465]",33.4158205,-111.9271465
157,Arizona Western College,Main Campus,2020 S. Avenue 8E,YUMA,AZ,85365,4,"Public, 2-year",3314.0,4255.0,7569.0,0,1,0,0,"Arizona Western College, 2020 S. Avenue 8E, YUMA, AZ 85365","[32.6878786, -114.4974884]",32.6878786,-114.4974884
162,University of Arizona,Main Campus,1200 E. Univeristy,TUCSON,AZ,857210021,1,"Public, 4-year or above",20807.0,22354.0,43161.0,13,3,0,5,"University of Arizona, 1200 E. Univeristy, TUCSON, AZ 857210021","[32.2318851, -110.9501094]",32.2318851,-110.9501094
165,Central Arizona College,Main Campus-Signal Peak,8470 N OVERFIELD RD,COOLIDGE,AZ,851289778,4,"Public, 2-year",2105.0,3480.0,5585.0,0,1,0,2,"Central Arizona College, 8470 N OVERFIELD RD, COOLIDGE, AZ 851289778","[32.9557438, -111.6526577]",32.9557438,-111.6526577
188,Grand Canyon University,Grand Canyon University,3300 W CAMELBACK RD,PHOENIX,AZ,85017,3,"Private for-profit, 4-year or above",20397.0,55437.0,75834.0,6,6,0,3,"Grand Canyon University, 3300 W CAMELBACK RD, PHOENIX, AZ 85017","[33.5101648, -112.1287861]",33.5101648,-112.1287861
191,Mesa Community College,Mesa Community College,1833 W SOUTHERN AVE,MESA,AZ,85202,4,"Public, 2-year",9890.0,10618.0,20508.0,0,1,0,0,"Mesa Community College, 1833 W SOUTHERN AVE, MESA, AZ 85202","[33.391072, -111.871868]",33.391072,-111.871868
199,Dine College,Main Campus,"Route 12, NHC Bldg. 1st Floor, Room 113",TSAILE,AZ,86556,1,"Public, 4-year or above",463.0,933.0,1396.0,0,0,0,4,"Dine College, Route 12, NHC Bldg. 1st Floor, Room 113, TSAILE, AZ 86556","[36.293436, -109.213677]",36.293436,-109.213677
212,Northern Arizona University,NAU - Paradise Valley,18401 North 32nd St,Phoenix,AZ,85032,1,"Public, 4-year or above",12014.0,18347.0,30361.0,0,0,0,1,"Northern Arizona University, 18401 North 32nd St, Phoenix, AZ 85032","[33.652851, -112.010357]",33.652851,-112.010357
218,Northern Arizona University,NAU - Thatcher Campus,615 North Stadium Dr,Thatcher,AZ,85552,1,"Public, 4-year or above",12014.0,18347.0,30361.0,0,0,0,1,"Northern Arizona University, 615 North Stadium Dr, Thatcher, AZ 85552","[32.8437, -109.76256]",32.8437,-109.76256
246,Pima Community College,West Campus,2202 W. Anklam Rd.,Tucson,AZ,857090001,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"Pima Community College, 2202 W. Anklam Rd., Tucson, AZ 857090001","[32.2273252, -111.016572]",32.2273252,-111.016572
247,Pima Community College,Downtown Campus,1255 N. Stone Ave.,Tucson,AZ,857073000,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"Pima Community College, 1255 N. Stone Ave., Tucson, AZ 857073000","[32.2370859, -110.9729433]",32.2370859,-110.9729433
249,Pima Community College,East Campus,8181 E. Irvington Rd.,Tucson,AZ,857094000,4,"Public, 2-year",11711.0,13245.0,24956.0,0,0,1,0,"Pima Community College, 8181 E. Irvington Rd., Tucson, AZ 857094000","[32.1661534, -110.8181788]",32.1661534,-110.8181788
255,Pima Community College,29th Street Coalition Center,4355 S. Calle Aurora,Tucson,AZ,857095520,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"Pima Community College, 4355 S. Calle Aurora, Tucson, AZ 857095520","[32.1985747, -110.8991127]",32.1985747,-110.8991127
275,Scottsdale Community College,Main Campus,9000 E CHAPARRAL RD,SCOTTSDALE,AZ,85256,4,"Public, 2-year",4450.0,5101.0,9551.0,0,0,0,1,"Scottsdale Community College, 9000 E CHAPARRAL RD, SCOTTSDALE, AZ 85256","[33.5103714, -111.8827134]",33.5103714,-111.8827134
280,Universal Technical Institute of Arizona Inc,"Universal Technical Institute of Arizona, Inc.",10695 West Pierce Street,Avondale,AZ,85323,6,"Private for-profit, 2-year",1831.0,65.0,1896.0,0,1,0,1,"Universal Technical Institute of Arizona Inc, 10695 West Pierce Street, Avondale, AZ 85323","[33.4525423, -112.28768]",33.4525423,-112.28768
295,Arkansas Baptist College,Arkansas Baptist College,1621 Martin Luther King Drive,LITTLE ROCK,AR,722026099,2,"Private nonprofit, 4-year or above",603.0,275.0,878.0,0,0,1,3,"Arkansas Baptist College, 1621 Martin Luther King Drive, LITTLE ROCK, AR 722026099","[34.7350599, -92.2895423]",34.7350599,-92.2895423
296,Arkansas Beauty School-Little Rock,Main Campus,8521 Geyer Springs Road Unit 30,LITTLE ROCK,AR,72209,9,"Private for-profit, less-than 2-year",6.0,83.0,89.0,0,0,1,0,"Arkansas Beauty School-Little Rock, 8521 Geyer Springs Road Unit 30, LITTLE ROCK, AR 72209","[34.672139, -92.34344899999999]",34.672139,-92.343449
299,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,200 E WASHINGTON AVE,NORTH LITTLE ROCK,AR,72114,9,"Private for-profit, less-than 2-year",78.0,53.0,131.0,0,0,0,1,"Arkansas College of Barbering and Hair Design, 200 E WASHINGTON AVE, NORTH LITTLE ROCK, AR 72114","[34.753973, -92.26640800000001]",34.753973,-92.266408
308,Arkansas State University-Main Campus,Arkansas State University-Jonesboro,PO Box 10,State University,AR,72467,1,"Public, 4-year or above",5625.0,8460.0,14085.0,7,0,0,2,"Arkansas State University-Main Campus, PO Box 10, State University, AR 72467","[35.8430861, -90.67485889999999]",35.8430861,-90.6748589
309,Arkansas Tech University,Main Campus,"1509 N. Boulder Ave., Room 210",RUSSELLVILLE,AR,728012222,1,"Public, 4-year or above",5259.0,6635.0,11894.0,0,0,2,3,"Arkansas Tech University, 1509 N. Boulder Ave., Room 210, RUSSELLVILLE, AR 728012222","[35.2944535, -93.1362663]",35.2944535,-93.1362663
318,University of Central Arkansas,Main Campus,201 DONAGHEY AVE,CONWAY,AR,720350001,1,"Public, 4-year or above",4406.0,7081.0,11487.0,4,0,0,3,"University of Central Arkansas, 201 DONAGHEY AVE, CONWAY, AR 720350001","[35.0780913, -92.4579383]",35.0780913,-92.4579383
329,Harding University,Main Campus,900 E. Center,Searcy,AR,72149,2,"Private nonprofit, 4-year or above",2462.0,3440.0,5902.0,1,0,1,1,"Harding University, 900 E. Center, Searcy, AR 72149","[35.245152, -91.7235465]",35.245152,-91.7235465
340,Henderson State University,Henderson State University,1100 HENDERSON ST,ARKADELPHIA,AR,719990001,1,"Public, 4-year or above",1462.0,2089.0,3551.0,1,2,1,2,"Henderson State University, 1100 HENDERSON ST, ARKADELPHIA, AR 719990001","[34.1308101, -93.05912339999999]",34.1308101,-93.0591234
342,Hendrix College,Main Campus,1600 WASHINGTON AVE,CONWAY,AR,720323080,2,"Private nonprofit, 4-year or above",633.0,695.0,1328.0,6,12,0,1,"Hendrix College, 1600 WASHINGTON AVE, CONWAY, AR 720323080","[35.1000469, -92.4420118]",35.1000469,-92.4420118
367,Ouachita Baptist University,Main Campus,410 OUACHITA ST,ARKADELPHIA,AR,719980001,2,"Private nonprofit, 4-year or above",698.0,795.0,1493.0,1,0,0,0,"Ouachita Baptist University, 410 OUACHITA ST, ARKADELPHIA, AR 719980001","[34.1274257, -93.0519992]",34.1274257,-93.0519992
374,University of the Ozarks,Main Campus,415 N. College Ave.,Clarksville,AR,72830,2,"Private nonprofit, 4-year or above",339.0,347.0,686.0,1,0,0,0,"University of the Ozarks, 415 N. College Ave., Clarksville, AR 72830","[35.4758935, -93.46628749999999]",35.4758935,-93.4662875
376,Philander Smith College,Philander Smith College,900 DAISY BATES DRIVE,LITTLE ROCK,AR,722023799,2,"Private nonprofit, 4-year or above",294.0,471.0,765.0,0,0,2,4,"Philander Smith College, 900 DAISY BATES DRIVE, LITTLE ROCK, AR 722023799","[34.7371492, -92.28296929999999]",34.7371492,-92.2829693
391,Southern Arkansas University Main Campus,Main Campus,100 E. University Street,MAGNOLIA,AR,71754,1,"Public, 4-year or above",2474.0,2297.0,4771.0,2,0,0,0,"Southern Arkansas University Main Campus, 100 E. University Street, MAGNOLIA, AR 71754","[33.2932863, -93.23188789999999]",33.2932863,-93.2318879
392,Southern Arkansas University Tech,Main Campus,6415 Spellman Road,Camden,AR,71701,4,"Public, 2-year",409.0,371.0,780.0,0,0,0,1,"Southern Arkansas University Tech, 6415 Spellman Road, Camden, AR 71701","[33.6302754, -92.7195074]",33.6302754,-92.7195074
395,Academy of Art University,Main Campus,79 NEW MONTGOMERY,SAN FRANCISCO,CA,94105,3,"Private for-profit, 4-year or above",5128.0,7480.0,12608.0,2,1,0,4,"Academy of Art University, 79 NEW MONTGOMERY, SAN FRANCISCO, CA 94105","[37.7879584, -122.4004678]",37.7879584,-122.4004678
399,College of Alameda,Main Campus,555 Ralph Appezzato Memorial Parkway,ALAMEDA,CA,94501,4,"Public, 2-year",2809.0,3588.0,6397.0,0,0,0,3,"College of Alameda, 555 Ralph Appezzato Memorial Parkway, ALAMEDA, CA 94501","[37.780721, -122.279205]",37.780721,-122.279205
408,American River College,Main Campus,4700 COLLEGE OAK DR,SACRAMENTO,CA,958414286,4,"Public, 2-year",15604.0,14915.0,30519.0,2,2,1,0,"American River College, 4700 COLLEGE OAK DR, SACRAMENTO, CA 958414286","[38.65099, -121.348804]",38.65099,-121.348804
412,Antelope Valley College,Main Campus,3041 West Avenue K,LANCASTER,CA,935365426,4,"Public, 2-year",5679.0,8426.0,14105.0,0,0,1,2,"Antelope Valley College, 3041 West Avenue K, LANCASTER, CA 935365426","[34.6780162, -118.1873236]",34.6780162,-118.1873236
417,Azusa Pacific University,Azusa (main campus),901 E. Alosta Ave.,AZUSA,CA,917027000,2,"Private nonprofit, 4-year or above",3108.0,6912.0,10020.0,3,0,0,1,"Azusa Pacific University, 901 E. Alosta Ave., AZUSA, CA 917027000","[34.1300755, -117.8883593]",34.1300755,-117.8883593
424,Bakersfield College,Bakersfield College,1801 Panorama Drive,Bakersfield,CA,933051299,4,"Public, 2-year",10124.0,12586.0,22710.0,1,0,1,0,"Bakersfield College, 1801 Panorama Drive, Bakersfield, CA 933051299","[35.4088483, -118.9711879]",35.4088483,-118.9711879
425,Barstow Community College,Barstow Community College District,2700 BARSTOW RD,BARSTOW,CA,923116608,4,"Public, 2-year",1163.0,2122.0,3285.0,1,0,0,1,"Barstow Community College, 2700 BARSTOW RD, BARSTOW, CA 923116608","[34.8711719, -117.0249736]",34.8711719,-117.0249736
428,Biola University,Main Campus,13800 BIOLA AVE,LA MIRADA,CA,906390001,2,"Private nonprofit, 4-year or above",2734.0,3361.0,6095.0,1,0,0,0,"Biola University, 13800 BIOLA AVE, LA MIRADA, CA 906390001","[33.9063551, -118.0159919]",33.9063551,-118.0159919
438,California Baptist University,Main Campus,8432 MAGNOLIA AVE,RIVERSIDE,CA,925043297,2,"Private nonprofit, 4-year or above",3185.0,5972.0,9157.0,1,3,0,0,"California Baptist University, 8432 MAGNOLIA AVE, RIVERSIDE, CA 925043297","[33.9284067, -117.4255596]",33.9284067,-117.4255596
444,California College of the Arts,San Francisco Campus,1111 8th Street,San Francisco,CA,94107,2,"Private nonprofit, 4-year or above",715.0,1268.0,1983.0,0,0,1,0,"California College of the Arts, 1111 8th Street, San Francisco, CA 94107","[37.7675281, -122.3995023]",37.7675281,-122.3995023
446,California Institute of Technology,Main Campus,"1200 E CALIFORNIA BLVD, MC 200-63",PASADENA,CA,91125,2,"Private nonprofit, 4-year or above",1479.0,761.0,2240.0,11,2,2,5,"California Institute of Technology, 1200 E CALIFORNIA BLVD, MC 200-63, PASADENA, CA 91125","[34.1376576, -118.125269]",34.1376576,-118.125269
447,California Lutheran University,Main Campus,60 W OLSEN RD,THOUSAND OAKS,CA,913602787,2,"Private nonprofit, 4-year or above",1738.0,2436.0,4174.0,2,1,0,2,"California Lutheran University, 60 W OLSEN RD, THOUSAND OAKS, CA 913602787","[34.2250167, -118.8788537]",34.2250167,-118.8788537
448,California Lutheran University,California Lutheran University Oxnard Campus,"2201 Outlet Center Drive, Suite 600",Oxnard,CA,93036,2,"Private nonprofit, 4-year or above",1738.0,2436.0,4174.0,0,1,0,0,"California Lutheran University, 2201 Outlet Center Drive, Suite 600, Oxnard, CA 93036","[34.2217775, -119.1484382]",34.2217775,-119.1484382
452,California Polytechnic State University-San Luis Obispo,Main Campus,1 Grand Avenue,SAN LUIS OBISPO,CA,93407,1,"Public, 4-year or above",11247.0,10059.0,21306.0,7,3,1,1,"California Polytechnic State University-San Luis Obispo, 1 Grand Avenue, SAN LUIS OBISPO, CA 93407","[35.3050053, -120.6624942]",35.3050053,-120.6624942
454,Alliant International University-San Diego,Alliant International University - Fresno,5130 E. Clinton Way,Fresno,CA,93727,3,"Private for-profit, 4-year or above",1347.0,2656.0,4003.0,0,0,1,0,"Alliant International University-San Diego, 5130 E. Clinton Way, Fresno, CA 93727","[36.766774, -119.721659]",36.766774,-119.721659
461,California State University-Bakersfield,Main Campus,9001 STOCKDALE HWY,BAKERSFIELD,CA,933111022,1,"Public, 4-year or above",3592.0,5749.0,9341.0,0,4,0,0,"California State University-Bakersfield, 9001 STOCKDALE HWY, BAKERSFIELD, CA 933111022","[35.348251, -119.103684]",35.348251,-119.103684
466,California State Polytechnic University-Pomona,Main Campus,3801 W TEMPLE AVE,POMONA,CA,91768,1,"Public, 4-year or above",13819.0,11507.0,25326.0,6,2,2,0,"California State Polytechnic University-Pomona, 3801 W TEMPLE AVE, POMONA, CA 91768","[34.0575651, -117.820741]",34.0575651,-117.820741
467,California State University-Chico,Main Campus,400 W. 1st  St,Chico,CA,959290150,1,"Public, 4-year or above",8151.0,9406.0,17557.0,6,2,1,2,"California State University-Chico, 400 W. 1st  St, Chico, CA 959290150","[39.7273061, -121.8476768]",39.7273061,-121.8476768
468,California State University-Dominguez Hills,California State University Dominguez Hills,1000 E VICTORIA ST,CARSON,CA,907470005,1,"Public, 4-year or above",5274.0,9457.0,14731.0,1,1,1,3,"California State University-Dominguez Hills, 1000 E VICTORIA ST, CARSON, CA 907470005","[33.8633706, -118.2552809]",33.8633706,-118.2552809
469,California State University-Fresno,Main Campus,5200 N BARTON AVE,FRESNO,CA,93740,1,"Public, 4-year or above",10081.0,14324.0,24405.0,0,3,2,0,"California State University-Fresno, 5200 N BARTON AVE, FRESNO, CA 93740","[36.8133636, -119.7460937]",36.8133636,-119.7460937
475,California State University-East Bay,Main Campus,25800 CARLOS BEE BLVD,HAYWARD,CA,94542,1,"Public, 4-year or above",6151.0,9704.0,15855.0,4,1,1,0,"California State University-East Bay, 25800 CARLOS BEE BLVD, HAYWARD, CA 94542","[37.6567146, -122.0568243]",37.6567146,-122.0568243
478,California State University-Long Beach,Main Campus,1250 BELLFLOWER BLVD,LONG BEACH,CA,908400115,1,"Public, 4-year or above",16103.0,21673.0,37776.0,3,3,2,4,"California State University-Long Beach, 1250 BELLFLOWER BLVD, LONG BEACH, CA 908400115","[33.7838235, -118.1140904]",33.7838235,-118.1140904
479,California State University-Los Angeles,"California State University, Los Angeles",5151 STATE UNIVERSITY DR,LOS ANGELES,CA,90032,1,"Public, 4-year or above",11658.0,16169.0,27827.0,4,3,0,3,"California State University-Los Angeles, 5151 STATE UNIVERSITY DR, LOS ANGELES, CA 90032","[34.0667884, -118.1680898]",34.0667884,-118.1680898
480,California State University-Northridge,"California State University, Northridge",18111 NORDHOFF ST,NORTHRIDGE,CA,913308282,1,"Public, 4-year or above",17977.0,21939.0,39916.0,14,3,7,3,"California State University-Northridge, 18111 NORDHOFF ST, NORTHRIDGE, CA 913308282","[34.2410366, -118.5276745]",34.2410366,-118.5276745
481,California State University-Sacramento,Sacramento State,6000 J Street,Sacramento,CA,958192694,1,"Public, 4-year or above",13234.0,17276.0,30510.0,1,2,2,1,"California State University-Sacramento, 6000 J Street, Sacramento, CA 958192694","[38.5611436, -121.4240425]",38.5611436,-121.4240425
484,University of California-Davis,Main Campus,One Shields Avenue,DAVIS,CA,956168678,1,"Public, 4-year or above",15217.0,21243.0,36460.0,8,3,1,1,"University of California-Davis, One Shields Avenue, DAVIS, CA 956168678","[38.5382322, -121.7617125]",38.5382322,-121.7617125
485,University of California-Davis,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,95817,1,"Public, 4-year or above",15217.0,21243.0,36460.0,1,3,1,3,"University of California-Davis, 2315 Stockton Blvd., Sacramento, CA 95817","[38.5477719, -121.4530594]",38.5477719,-121.4530594
486,University of California-Irvine,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,1,"Public, 4-year or above",15816.0,16938.0,32754.0,20,16,2,3,"University of California-Irvine, University of California, Irvine, IRVINE, CA 92697","[33.6484037, -117.8412259]",33.6484037,-117.8412259
487,University of California-Irvine,UCI Medical Center,101 The City Drive,Orange,CA,92868,1,"Public, 4-year or above",15816.0,16938.0,32754.0,1,7,0,0,"University of California-Irvine, 101 The City Drive, Orange, CA 92868","[33.7865865, -117.8897773]",33.7865865,-117.8897773
488,University of California-Los Angeles,UCLA,405 HILGARD AVE,LOS ANGELES,CA,900951364,1,"Public, 4-year or above",20268.0,23280.0,43548.0,15,9,3,18,"University of California-Los Angeles, 405 HILGARD AVE, LOS ANGELES, CA 900951364","[34.068921, -118.4451811]",34.068921,-118.4451811
489,University of California-Riverside,Main Campus,900 UNIVERSITY AVE,RIVERSIDE,CA,92521,1,"Public, 4-year or above",10881.0,11834.0,22715.0,5,7,6,1,"University of California-Riverside, 900 UNIVERSITY AVE, RIVERSIDE, CA 92521","[33.9737055, -117.3280644]",33.9737055,-117.3280644
491,University of California-San Francisco,Main Campus - Parnassus,500 Parnassus Ave,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,3,1,4,"University of California-San Francisco, 500 Parnassus Ave, San Francisco, CA 941430402","[37.7623117, -122.4576994]",37.7623117,-122.4576994
492,University of California-San Francisco,Mission Bay,550 16th Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,2,1,0,"University of California-San Francisco, 550 16th Street, San Francisco, CA 941430402","[37.767555, -122.3903556]",37.767555,-122.3903556
493,University of California-San Francisco,Mount Zion,1600 Divisadero Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,0,0,1,"University of California-San Francisco, 1600 Divisadero Street, San Francisco, CA 941430402","[37.7854785, -122.4401619]",37.7854785,-122.4401619
496,University of California-Santa Barbara,University of California Santa Barbara,Public Safety Building 574,SANTA BARBARA,CA,931061010,1,"Public, 4-year or above",11625.0,12721.0,24346.0,17,4,0,13,"University of California-Santa Barbara, Public Safety Building 574, SANTA BARBARA, CA 931061010","[34.4139629, -119.848947]",34.4139629,-119.848947
497,University of California-Santa Cruz,Main Campus,1156 HIGH ST,SANTA CRUZ,CA,95064,1,"Public, 4-year or above",9388.0,9395.0,18783.0,6,14,1,4,"University of California-Santa Cruz, 1156 HIGH ST, SANTA CRUZ, CA 95064","[36.9914738, -122.0582972]",36.9914738,-122.0582972
503,California Institute of the Arts,Main Campus,24700 W MCBEAN PKY,VALENCIA,CA,913552397,2,"Private nonprofit, 4-year or above",615.0,840.0,1455.0,1,6,0,5,"California Institute of the Arts, 24700 W MCBEAN PKY, VALENCIA, CA 913552397","[34.3930631, -118.5668378]",34.3930631,-118.5668378
