,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
15,Miles College,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",916,904,1820,0,1,5,6,"5500 Myron Massey Blvd, Fairfield, AL, 35064","[33.480831, -86.90826799999999]",33.480831,-86.908268,3.3,2.7,0.5,0,"Miles College<br>Fairfield, AL<br>Crime Count: 6<br>Enrollment: 1820<br>Rate per 1000 students: 3.3","Miles College<br>Fairfield, AL<br>Crime Count: 5<br>Enrollment: 1820<br>Rate per 1000 students: 2.7","Miles College<br>Fairfield, AL<br>Crime Count: 1<br>Enrollment: 1820<br>Rate per 1000 students: 0.5","Miles College<br>Fairfield, AL<br>Crime Count: 0<br>Enrollment: 1820<br>Rate per 1000 students: 0.0"
16,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",870,1928,2798,0,3,0,0,"STATION 6001, MONTEVALLO, AL, 35115","[33.5350615, -86.5660626]",33.5350615,-86.5660626,0,0,1.1,0,"University of Montevallo<br>Montevallo, AL<br>Crime Count: 0<br>Enrollment: 2798<br>Rate per 1000 students: 0.0","University of Montevallo<br>Montevallo, AL<br>Crime Count: 0<br>Enrollment: 2798<br>Rate per 1000 students: 0.0","University of Montevallo<br>Montevallo, AL<br>Crime Count: 3<br>Enrollment: 2798<br>Rate per 1000 students: 1.1","University of Montevallo<br>Montevallo, AL<br>Crime Count: 0<br>Enrollment: 2798<br>Rate per 1000 students: 0.0"
17,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 4-year or above",2961,4372,7333,2,1,1,1,"1 Harrison Plaza- UNA Box 5067, FLORENCE, AL, 356320001","[34.807113, -87.6791409]",34.807113,-87.6791409,0.1,0.1,0.1,0.3,"University of North Alabama<br>Florence, AL<br>Crime Count: 1<br>Enrollment: 7333<br>Rate per 1000 students: 0.1","University of North Alabama<br>Florence, AL<br>Crime Count: 1<br>Enrollment: 7333<br>Rate per 1000 students: 0.1","University of North Alabama<br>Florence, AL<br>Crime Count: 1<br>Enrollment: 7333<br>Rate per 1000 students: 0.1","University of North Alabama<br>Florence, AL<br>Crime Count: 2<br>Enrollment: 7333<br>Rate per 1000 students: 0.3"
18,Oakwood University,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 4-year or above",744,1050,1794,0,0,1,2,"7000 ADVENTIST BLVD NW, HUNTSVILLE, AL, 358960003","[34.7529622, -86.6485379]",34.7529622,-86.6485379,1.1,0.6,0,0,"Oakwood University<br>Huntsville, AL<br>Crime Count: 2<br>Enrollment: 1794<br>Rate per 1000 students: 1.1","Oakwood University<br>Huntsville, AL<br>Crime Count: 1<br>Enrollment: 1794<br>Rate per 1000 students: 0.6","Oakwood University<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 1794<br>Rate per 1000 students: 0.0","Oakwood University<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 1794<br>Rate per 1000 students: 0.0"
19,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 4-year or above",556,920,1476,2,0,0,0,"4000 DAUPHIN ST, MOBILE, AL, 366081791","[30.6870019, -88.1354984]",30.6870019,-88.1354984,0,0,0,1.4,"Spring Hill College<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 1476<br>Rate per 1000 students: 0.0","Spring Hill College<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 1476<br>Rate per 1000 students: 0.0","Spring Hill College<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 1476<br>Rate per 1000 students: 0.0","Spring Hill College<br>Mobile, AL<br>Crime Count: 2<br>Enrollment: 1476<br>Rate per 1000 students: 1.4"
20,Talladega College,Talladega College Main Campus,627 W BATTLE ST,TALLADEGA,AL,35160,2,"Private nonprofit, 4-year or above",352,323,675,1,0,0,1,"627 W BATTLE ST, TALLADEGA, AL, 35160","[33.4327519, -86.1135613]",33.4327519,-86.1135613,1.5,0,0,1.5,"Talladega College<br>Talladega, AL<br>Crime Count: 1<br>Enrollment: 675<br>Rate per 1000 students: 1.5","Talladega College<br>Talladega, AL<br>Crime Count: 0<br>Enrollment: 675<br>Rate per 1000 students: 0.0","Talladega College<br>Talladega, AL<br>Crime Count: 0<br>Enrollment: 675<br>Rate per 1000 students: 0.0","Talladega College<br>Talladega, AL<br>Crime Count: 1<br>Enrollment: 675<br>Rate per 1000 students: 1.5"
21,H Councill Trenholm State Community College,Main Campus - Trenholm Campus,P.O. Box 10048,MONTGOMERY,AL,361083199,4,"Public, 2-year",811,850,1661,0,0,1,0,"P.O. Box 10048, MONTGOMERY, AL, 361083199","[31.2765941, -85.45508559999999]",31.2765941,-85.4550856,0,0.6,0,0,"H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1661<br>Rate per 1000 students: 0.0","H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 1<br>Enrollment: 1661<br>Rate per 1000 students: 0.6","H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1661<br>Rate per 1000 students: 0.0","H Councill Trenholm State Community College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1661<br>Rate per 1000 students: 0.0"
22,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368,1,"Public, 4-year or above",6871,10984,17855,0,0,1,0,"501 University Drive, Dothan, AL, 363040368","[31.2843392, -85.4702112]",31.2843392,-85.4702112,0,0.1,0,0,"Troy University<br>Dothan, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0","Troy University<br>Dothan, AL<br>Crime Count: 1<br>Enrollment: 17855<br>Rate per 1000 students: 0.1","Troy University<br>Dothan, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0","Troy University<br>Dothan, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0"
23,University of Alaska Anchorage,Anchorage Campus,3211 Providence Dr,Anchorage,AK,99508,1,"Public, 4-year or above",6821,9497,16318,2,0,0,1,"3211 Providence Dr, Anchorage, AK, 99508","[61.19076019999999, -149.8180477]",61.1907602,-149.8180477,0.1,0,0,0.1,"University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 1<br>Enrollment: 16318<br>Rate per 1000 students: 0.1","University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 16318<br>Rate per 1000 students: 0.0","University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 16318<br>Rate per 1000 students: 0.0","University of Alaska Anchorage<br>Anchorage, AK<br>Crime Count: 2<br>Enrollment: 16318<br>Rate per 1000 students: 0.1"
24,University of Alaska Southeast,Main Campus/Auke Bay,11066 Auke Lake Way,JUNEAU,AK,99801,1,"Public, 4-year or above",804,1759,2563,0,2,0,0,"11066 Auke Lake Way, JUNEAU, AK, 99801","[58.38552139999999, -134.6407459]",58.3855214,-134.6407459,0,0,0.8,0,"University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 0<br>Enrollment: 2563<br>Rate per 1000 students: 0.0","University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 0<br>Enrollment: 2563<br>Rate per 1000 students: 0.0","University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 2<br>Enrollment: 2563<br>Rate per 1000 students: 0.8","University of Alaska Southeast<br>Juneau, AK<br>Crime Count: 0<br>Enrollment: 2563<br>Rate per 1000 students: 0.0"
25,Alaska Career College,Main Campus,1415 E Tudor Road,Anchorage,AK,995071033,6,"Private for-profit, 2-year",73,351,424,0,0,2,0,"1415 E Tudor Road, Anchorage, AK, 995071033","[61.18136479999999, -149.8570744]",61.1813648,-149.8570744,0,4.7,0,0,"Alaska Career College<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 424<br>Rate per 1000 students: 0.0","Alaska Career College<br>Anchorage, AK<br>Crime Count: 2<br>Enrollment: 424<br>Rate per 1000 students: 4.7","Alaska Career College<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 424<br>Rate per 1000 students: 0.0","Alaska Career College<br>Anchorage, AK<br>Crime Count: 0<br>Enrollment: 424<br>Rate per 1000 students: 0.0"
26,Thunderbird School of Global Management,MAIN CAMPUS,1 Global Place,GLENDALE,AZ,853066000,1,"Public, 4-year or above",167,130,297,1,1,0,0,"1 Global Place, GLENDALE, AZ, 853066000","[33.6224893, -112.1825592]",33.6224893,-112.1825592,0,0,3.4,3.4,"Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 297<br>Rate per 1000 students: 0.0","Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 297<br>Rate per 1000 students: 0.0","Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 1<br>Enrollment: 297<br>Rate per 1000 students: 3.4","Thunderbird School of Global Management<br>Glendale, AZ<br>Crime Count: 1<br>Enrollment: 297<br>Rate per 1000 students: 3.4"
27,Arizona State University-Tempe,Tempe Campus,325 E. Apache Blvd.,TEMPE,AZ,852871812,1,"Public, 4-year or above",29828,22041,51869,19,13,6,8,"325 E. Apache Blvd., TEMPE, AZ, 852871812","[33.4143327, -111.9344567]",33.4143327,-111.9344567,0.2,0.1,0.3,0.4,"Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 8<br>Enrollment: 51869<br>Rate per 1000 students: 0.2","Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 6<br>Enrollment: 51869<br>Rate per 1000 students: 0.1","Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 13<br>Enrollment: 51869<br>Rate per 1000 students: 0.3","Arizona State University-Tempe<br>Tempe, AZ<br>Crime Count: 19<br>Enrollment: 51869<br>Rate per 1000 students: 0.4"
28,Arizona Western College,Main Campus,2020 S. Avenue 8E,YUMA,AZ,85365,4,"Public, 2-year",3314,4255,7569,0,1,0,0,"2020 S. Avenue 8E, YUMA, AZ, 85365","[32.688474, -114.4948775]",32.688474,-114.4948775,0,0,0.1,0,"Arizona Western College<br>Yuma, AZ<br>Crime Count: 0<br>Enrollment: 7569<br>Rate per 1000 students: 0.0","Arizona Western College<br>Yuma, AZ<br>Crime Count: 0<br>Enrollment: 7569<br>Rate per 1000 students: 0.0","Arizona Western College<br>Yuma, AZ<br>Crime Count: 1<br>Enrollment: 7569<br>Rate per 1000 students: 0.1","Arizona Western College<br>Yuma, AZ<br>Crime Count: 0<br>Enrollment: 7569<br>Rate per 1000 students: 0.0"
29,University of Arizona,Main Campus,1200 E. Univeristy,TUCSON,AZ,857210021,1,"Public, 4-year or above",20807,22354,43161,13,3,0,5,"1200 E. Univeristy, TUCSON, AZ, 857210021","[32.23188, -110.953889]",32.23188,-110.953889,0.1,0,0.1,0.3,"University of Arizona<br>Tucson, AZ<br>Crime Count: 5<br>Enrollment: 43161<br>Rate per 1000 students: 0.1","University of Arizona<br>Tucson, AZ<br>Crime Count: 0<br>Enrollment: 43161<br>Rate per 1000 students: 0.0","University of Arizona<br>Tucson, AZ<br>Crime Count: 3<br>Enrollment: 43161<br>Rate per 1000 students: 0.1","University of Arizona<br>Tucson, AZ<br>Crime Count: 13<br>Enrollment: 43161<br>Rate per 1000 students: 0.3"
30,Central Arizona College,Main Campus-Signal Peak,8470 N OVERFIELD RD,COOLIDGE,AZ,851289778,4,"Public, 2-year",2105,3480,5585,0,1,0,2,"8470 N OVERFIELD RD, COOLIDGE, AZ, 851289778","[32.9577551, -111.6521557]",32.9577551,-111.6521557,0.4,0,0.2,0,"Central Arizona College<br>Coolidge, AZ<br>Crime Count: 2<br>Enrollment: 5585<br>Rate per 1000 students: 0.4","Central Arizona College<br>Coolidge, AZ<br>Crime Count: 0<br>Enrollment: 5585<br>Rate per 1000 students: 0.0","Central Arizona College<br>Coolidge, AZ<br>Crime Count: 1<br>Enrollment: 5585<br>Rate per 1000 students: 0.2","Central Arizona College<br>Coolidge, AZ<br>Crime Count: 0<br>Enrollment: 5585<br>Rate per 1000 students: 0.0"
31,Glendale Community College,Main Campus,6000 W OLIVE AVE,GLENDALE,AZ,85302,4,"Public, 2-year",8760,10240,19000,0,1,0,0,"6000 W OLIVE AVE, GLENDALE, AZ, 85302","[33.5712484, -112.1874521]",33.5712484,-112.1874521,0,0,0.1,0,"Glendale Community College<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 19000<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 19000<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, AZ<br>Crime Count: 1<br>Enrollment: 19000<br>Rate per 1000 students: 0.1","Glendale Community College<br>Glendale, AZ<br>Crime Count: 0<br>Enrollment: 19000<br>Rate per 1000 students: 0.0"
32,Grand Canyon University,Grand Canyon University,3300 W CAMELBACK RD,PHOENIX,AZ,85017,3,"Private for-profit, 4-year or above",20397,55437,75834,6,6,0,3,"3300 W CAMELBACK RD, PHOENIX, AZ, 85017","[33.5125699, -112.127371]",33.5125699,-112.127371,0,0,0.1,0.1,"Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 3<br>Enrollment: 75834<br>Rate per 1000 students: 0.0","Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 75834<br>Rate per 1000 students: 0.0","Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 6<br>Enrollment: 75834<br>Rate per 1000 students: 0.1","Grand Canyon University<br>Phoenix, AZ<br>Crime Count: 6<br>Enrollment: 75834<br>Rate per 1000 students: 0.1"
33,Mesa Community College,Mesa Community College,1833 W SOUTHERN AVE,MESA,AZ,85202,4,"Public, 2-year",9890,10618,20508,0,1,0,0,"1833 W SOUTHERN AVE, MESA, AZ, 85202","[33.3896376, -111.8694973]",33.3896376,-111.8694973,0,0,0,0,"Mesa Community College<br>Mesa, AZ<br>Crime Count: 0<br>Enrollment: 20508<br>Rate per 1000 students: 0.0","Mesa Community College<br>Mesa, AZ<br>Crime Count: 0<br>Enrollment: 20508<br>Rate per 1000 students: 0.0","Mesa Community College<br>Mesa, AZ<br>Crime Count: 1<br>Enrollment: 20508<br>Rate per 1000 students: 0.0","Mesa Community College<br>Mesa, AZ<br>Crime Count: 0<br>Enrollment: 20508<br>Rate per 1000 students: 0.0"
34,Northern Arizona University,NAU - Paradise Valley,18401 North 32nd St,Phoenix,AZ,85032,1,"Public, 4-year or above",12014,18347,30361,0,0,0,1,"18401 North 32nd St, Phoenix, AZ, 85032","[33.6515587, -112.0107791]",33.6515587,-112.0107791,0,0,0,0,"Northern Arizona University<br>Phoenix, AZ<br>Crime Count: 1<br>Enrollment: 30361<br>Rate per 1000 students: 0.0","Northern Arizona University<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 30361<br>Rate per 1000 students: 0.0","Northern Arizona University<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 30361<br>Rate per 1000 students: 0.0","Northern Arizona University<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 30361<br>Rate per 1000 students: 0.0"
