,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
293,University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,4301 W MARKHAM SLOT 583,LITTLE ROCK,AR,72205,1,"Public, 4-year or above",938.0,1931.0,2869.0,0,0,0,2,"University of Arkansas for Medical Sciences, 4301 W MARKHAM SLOT 583, LITTLE ROCK, AR 72205",
300,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,9100 North Rodney Parham Road,Little Rock,AR,72205,9,"Private for-profit, less-than 2-year",78.0,53.0,131.0,0,0,0,1,"Arkansas College of Barbering and Hair Design, 9100 North Rodney Parham Road, Little Rock, AR 72205",
302,University of Arkansas,Main Campus,ADMINISTRATION BLDG 422,FAYETTEVILLE,AR,727011201,1,"Public, 4-year or above",13052.0,14142.0,27194.0,5,2,1,3,"University of Arkansas, ADMINISTRATION BLDG 422, FAYETTEVILLE, AR 727011201",
303,University of Arkansas at Pine Bluff,UAPB - University of Arkansas at Pine Bluff,1200 N UNIVERSITY MAIL SLOT 4967,PINE BLUFF,AR,716014967,1,"Public, 4-year or above",1172.0,1649.0,2821.0,0,1,1,0,"University of Arkansas at Pine Bluff, 1200 N UNIVERSITY MAIL SLOT 4967, PINE BLUFF, AR 716014967",
394,University of Arkansas-Fort Smith,Main Campus,5210 Grand Ave,Fort Smith,AR,729133649,1,"Public, 4-year or above",2936.0,3648.0,6584.0,0,0,0,1,"University of Arkansas-Fort Smith, 5210 Grand Ave, Fort Smith, AR 729133649",
436,Cabrillo College,Aptos Campus,6500 SOQUEL DR,APTOS,CA,95003,4,"Public, 2-year",5466.0,6512.0,11978.0,0,0,0,3,"Cabrillo College, 6500 SOQUEL DR, APTOS, CA 95003",
464,California State University-San Bernardino,"California State University, San Bernardino",5500 University Pkwy.,San Bernardino,CA,924072397,1,"Public, 4-year or above",8117.0,12650.0,20767.0,6,1,2,2,"California State University-San Bernardino, 5500 University Pkwy., San Bernardino, CA 924072397",
470,California State University-Fullerton,Main Campus,800 N STATE COLLEGE BLVD,FULLERTON,CA,928319480,1,"Public, 4-year or above",17625.0,22610.0,40235.0,3,2,1,4,"California State University-Fullerton, 800 N STATE COLLEGE BLVD, FULLERTON, CA 928319480",
482,University of California-Berkeley,Main Campus,Rm. 1 Sproul Hall,Berkeley,CA,947201199,1,"Public, 4-year or above",20049.0,20105.0,40154.0,33,16,10,8,"University of California-Berkeley, Rm. 1 Sproul Hall, Berkeley, CA 947201199",
490,University of California-San Diego,Main Campus,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,1,"Public, 4-year or above",18807.0,16172.0,34979.0,10,6,3,8,"University of California-San Diego, 9500 Gilman Dr Mail Code 0005, La Jolla, CA 920930005",
516,Cerritos College,Main Campus,11110 ALONDRA BLVD,NORWALK,CA,906506298,4,"Public, 2-year",9545.0,11434.0,20979.0,0,2,1,0,"Cerritos College, 11110 ALONDRA BLVD, NORWALK, CA 906506298",
524,Chaffey College,Rancho Campus,5885 HAVEN AVE,RANCHO CUCAMONGA,CA,917373002,4,"Public, 2-year",9258.0,12744.0,22002.0,0,3,0,1,"Chaffey College, 5885 HAVEN AVE, RANCHO CUCAMONGA, CA 917373002",
525,Chapman University,Orange Campus,One University Dr.,ORANGE,CA,928661011,2,"Private nonprofit, 4-year or above",3401.0,5141.0,8542.0,6,1,0,0,"Chapman University, One University Dr., ORANGE, CA 928661011",
552,Coastline Community College,Newport Beach Center,1515 Monrovia Avenue,Newport Beach,CA,92663,4,"Public, 2-year",6280.0,4426.0,10706.0,0,1,0,0,"Coastline Community College, 1515 Monrovia Avenue, Newport Beach, CA 92663",
561,Contra Costa College,Main Campus,2600 MISSION BELL DR,SAN PABLO,CA,94806,4,"Public, 2-year",2558.0,3782.0,6340.0,0,0,3,1,"Contra Costa College, 2600 MISSION BELL DR, SAN PABLO, CA 94806",
569,Cypress College,Cypress College,9200 VALLEY VIEW,CYPRESS,CA,906305897,4,"Public, 2-year",7137.0,8804.0,15941.0,0,0,0,2,"Cypress College, 9200 VALLEY VIEW, CYPRESS, CA 906305897",
584,El Camino Community College District,Main Campus,16007 Crenshaw Boulevard,Torrance,CA,905060001,4,"Public, 2-year",11623.0,12410.0,24033.0,0,5,3,0,"El Camino Community College District, 16007 Crenshaw Boulevard, Torrance, CA 905060001",
683,Long Beach City College,Liberal Arts Campus,4901 East Carson Street,Long Beach,CA,90808,4,"Public, 2-year",11199.0,13505.0,24704.0,0,0,1,0,"Long Beach City College, 4901 East Carson Street, Long Beach, CA 90808",
731,Moler Barber College,Moler Barber College - San Pablo,"14330 San Pablo Ave , Suite C",San Pablo,CA,94806,9,"Private for-profit, less-than 2-year",131.0,38.0,169.0,0,0,1,0,"Moler Barber College, 14330 San Pablo Ave , Suite C, San Pablo, CA 94806",
733,Monterey Peninsula College,Monterey Campus,980 FREMONT ST,MONTEREY,CA,939404799,4,"Public, 2-year",3541.0,4274.0,7815.0,0,1,1,7,"Monterey Peninsula College, 980 FREMONT ST, MONTEREY, CA 939404799",
845,Pomona College,Main Campus,550 N COLLEGE AVE ALEXANDER HALL,CLAREMONT,CA,917116319,2,"Private nonprofit, 4-year or above",781.0,782.0,1563.0,6,7,3,0,"Pomona College, 550 N COLLEGE AVE ALEXANDER HALL, CLAREMONT, CA 917116319",
995,Taft College,Main Campus,29 Cougar Court,Taft,CA,932682329,4,"Public, 2-year",3706.0,2319.0,6025.0,1,0,0,0,"Taft College, 29 Cougar Court, Taft, CA 932682329",
1041,University of Colorado Boulder,Main Campus,Campus Box 17 UCB,Boulder,CO,803090017,1,"Public, 4-year or above",18983.0,14994.0,33977.0,14,12,1,8,"University of Colorado Boulder, Campus Box 17 UCB, Boulder, CO 803090017",
1045,The Art Institute of Colorado,The Art Institute of Colorado,1200 Lincoln Street,DENVER,CO,802032114,3,"Private for-profit, 4-year or above",416.0,395.0,811.0,0,0,1,3,"The Art Institute of Colorado, 1200 Lincoln Street, DENVER, CO 802032114",
1056,CollegeAmerica-Denver,Main Campus,"1385 S COLORADO BLVD., 5TH FLOOR",DENVER,CO,80222,2,"Private nonprofit, 4-year or above",27.0,174.0,201.0,0,0,0,1,"CollegeAmerica-Denver, 1385 S COLORADO BLVD., 5TH FLOOR, DENVER, CO 80222",
1058,Community College of Denver,Community College of Denver,1111 W. Colfax Ave.,DENVER,CO,802042026,4,"Public, 2-year",3823.0,5190.0,9013.0,1,2,4,4,"Community College of Denver, 1111 W. Colfax Ave., DENVER, CO 802042026",
1064,University of Denver,University Park Campus,2199 S. UNIVERSITY BLVD.,DENVER,CO,80208,2,"Private nonprofit, 4-year or above",5002.0,6612.0,11614.0,19,4,0,2,"University of Denver, 2199 S. UNIVERSITY BLVD., DENVER, CO 80208",
1170,Porter and Chester Institute of Stratford,Porter & Chester Institute - Chicopee,134 DULONG CIR,CHICOPEE,MA,01022,9,"Private for-profit, less-than 2-year",1345.0,583.0,1928.0,0,0,0,1,"Porter and Chester Institute of Stratford, 134 DULONG CIR, CHICOPEE, MA 01022",
1193,Wesleyan University,Main Campus,45 Wyllys Ave.,MIDDLETOWN,CT,06459,2,"Private nonprofit, 4-year or above",1473.0,1733.0,3206.0,24,2,0,0,"Wesleyan University, 45 Wyllys Ave., MIDDLETOWN, CT 06459",
1207,University of Delaware,Main Campus,413 Academy St.,NEWARK,DE,19716,1,"Public, 4-year or above",10024.0,12985.0,23009.0,5,1,0,6,"University of Delaware, 413 Academy St., NEWARK, DE 19716",
1244,Gallaudet University,Main Campus,800 FLORIDA AVE NE,WASHINGTON,DC,200023695,2,"Private nonprofit, 4-year or above",648.0,918.0,1566.0,17,6,2,4,"Gallaudet University, 800 FLORIDA AVE NE, WASHINGTON, DC 200023695",
1255,Georgetown University,"Education City, Doha, Qatar","P.O Box  23689  -  Doha, Qatar",Doha,,20057,2,"Private nonprofit, 4-year or above",8518.0,10007.0,18525.0,0,1,0,0,,
1273,Barry University,Main Campus,11300 NE 2ND AVE,MIAMI,FL,331616695,2,"Private nonprofit, 4-year or above",2600.0,4804.0,7404.0,1,1,1,0,"Barry University, 11300 NE 2ND AVE, MIAMI, FL 331616695",
1280,Eastern Florida State College,Eastern Florida State College-Cocoa,1519 CLEARLAKE RD,COCOA,FL,32922,1,"Public, 4-year or above",6409.0,9416.0,15825.0,0,2,0,0,"Eastern Florida State College, 1519 CLEARLAKE RD, COCOA, FL 32922",
1306,University of Central Florida,UCF Daytona Beach,1200 W. International Speedway Blvd,Daytona Beach,FL,32114,1,"Public, 4-year or above",28931.0,35157.0,64088.0,1,0,0,0,"University of Central Florida, 1200 W. International Speedway Blvd, Daytona Beach, FL 32114",
1423,Indian River State College,Main Campus,3209 VIRGINIA AVE,FORT PIERCE,FL,349815596,1,"Public, 4-year or above",7244.0,11000.0,18244.0,1,1,1,1,"Indian River State College, 3209 VIRGINIA AVE, FORT PIERCE, FL 349815596",
1449,Keiser University-Ft Lauderdale,Keiser University-San Marcos Nicaragua,"De Texaco 2C, SUR",San Marcos,,,2,"Private nonprofit, 4-year or above",6119.0,13569.0,19688.0,1,0,1,0,,
1585,University of South Florida-Main Campus,USF Tampa Campus,4202 EAST FOWLER AVE  UPB002,TAMPA,FL,336209951,1,"Public, 4-year or above",19485.0,23376.0,42861.0,4,3,4,1,"University of South Florida-Main Campus, 4202 EAST FOWLER AVE  UPB002, TAMPA, FL 336209951",
1656,Berry College,Main Campus,2277 MARTHA BERRY HWY NW,MOUNT BERRY,GA,30149,2,"Private nonprofit, 4-year or above",855.0,1319.0,2174.0,7,2,0,0,"Berry College, 2277 MARTHA BERRY HWY NW, MOUNT BERRY, GA 30149",
1665,College of Coastal Georgia,Main Campus,ONE COLLEGE DRIVE,BRUNSWICK,GA,315203644,1,"Public, 4-year or above",1208.0,2321.0,3529.0,3,1,0,0,"College of Coastal Georgia, ONE COLLEGE DRIVE, BRUNSWICK, GA 315203644",
1695,East Georgia State College,East Geogia State College-AU,2500 Walton Way,Augusta,GA,30904,1,"Public, 4-year or above",1321.0,1831.0,3152.0,1,0,1,0,"East Georgia State College, 2500 Walton Way, Augusta, GA 30904",
1712,Georgia Institute of Technology-Main Campus,Georgia Tech Lorraine,2 Rue Marconi,Metz,,57070,1,"Public, 4-year or above",18556.0,8283.0,26839.0,0,1,0,0,,
1829,Boise State University,Main Campus,1910 UNIVERSITY DR,BOISE,ID,837251291,1,"Public, 4-year or above",10608.0,13246.0,23854.0,12,7,1,4,"Boise State University, 1910 UNIVERSITY DR, BOISE, ID 837251291",
1837,Idaho State University,ISU -- Pocatello,"921 S. 8th Ave., Stop 8310",POCATELLO,ID,832098140,1,"Public, 4-year or above",5904.0,7012.0,12916.0,1,1,0,0,"Idaho State University, 921 S. 8th Ave., Stop 8310, POCATELLO, ID 832098140",
1845,The College of Idaho,The College of Idaho,2112 CLEVELAND BLVD,Caldwell,ID,836054432,2,"Private nonprofit, 4-year or above",482.0,489.0,971.0,4,1,0,0,"The College of Idaho, 2112 CLEVELAND BLVD, Caldwell, ID 836054432",
1922,City Colleges of Chicago-Harold Washington College,City Colleges of Chicago-Harold Washington College,30 E LAKE ST,CHICAGO,IL,606012449,4,"Public, 2-year",3613.0,4873.0,8486.0,0,1,0,0,"City Colleges of Chicago-Harold Washington College, 30 E LAKE ST, CHICAGO, IL 606012449",
1927,Concordia University-Chicago,Main Campus,7400 AUGUSTA,RIVER FOREST,IL,603051499,2,"Private nonprofit, 4-year or above",1879.0,3724.0,5603.0,2,3,0,1,"Concordia University-Chicago, 7400 AUGUSTA, RIVER FOREST, IL 603051499",
1934,DePaul University,Loop Campus,1 E. Jackson,Chicago,IL,606042287,2,"Private nonprofit, 4-year or above",10975.0,12135.0,23110.0,2,2,0,3,"DePaul University, 1 E. Jackson, Chicago, IL 606042287",
1966,University of Illinois at Chicago,UIC Peoria Regional Campus,"One Illini Drive, Box 1649",Peoria,IL,61656,1,"Public, 4-year or above",13719.0,15401.0,29120.0,0,0,0,2,"University of Illinois at Chicago, One Illini Drive, Box 1649, Peoria, IL 61656",
1974,Benedictine University,Springfield,1500 N. 5th Street,Springfield,IL,62702,2,"Private nonprofit, 4-year or above",2188.0,3704.0,5892.0,0,0,0,4,"Benedictine University, 1500 N. 5th Street, Springfield, IL 62702",
1992,Illinois State University,Illinois State University,201 S. School St. Hovey Hall rm 421 Campus Box 1000,NORMAL,IL,617901000,1,"Public, 4-year or above",9164.0,11875.0,21039.0,14,2,0,8,"Illinois State University, 201 S. School St. Hovey Hall rm 421 Campus Box 1000, NORMAL, IL 617901000",
2080,North Central College,Main Campus,30 N BRAINARD ST,NAPERVILLE,IL,60540,2,"Private nonprofit, 4-year or above",1366.0,1583.0,2949.0,4,1,0,0,"North Central College, 30 N BRAINARD ST, NAPERVILLE, IL 60540",
2083,Northern Illinois University,Main Campus,1425 West Lincoln Highway,DeKalb,IL,601152854,1,"Public, 4-year or above",9440.0,9575.0,19015.0,7,2,2,6,"Northern Illinois University, 1425 West Lincoln Highway, DeKalb, IL 601152854",
2093,Northwestern University,"Education City, Qatar","Northwestern University in Qatar, P.O. Box 34102",Doha,,,2,"Private nonprofit, 4-year or above",11336.0,10487.0,21823.0,0,2,0,1,,
2101,Parkland College,Main Campus,2400 W BRADLEY AVE,CHAMPAIGN,IL,618211899,4,"Public, 2-year",3530.0,4039.0,7569.0,0,3,0,0,"Parkland College, 2400 W BRADLEY AVE, CHAMPAIGN, IL 618211899",
2162,Southern Illinois University-Edwardsville,Edwardsville Campus,IL State Rte 157,EDWARDSVILLE,IL,620261001,1,"Public, 4-year or above",6479.0,7663.0,14142.0,2,1,0,3,"Southern Illinois University-Edwardsville, IL State Rte 157, EDWARDSVILLE, IL 620261001",
2164,Southern Illinois University-Edwardsville,SIUE School of Nursing Program at Carbondale,600 Agricultural Drive,Carbondale,IL,62901,1,"Public, 4-year or above",6479.0,7663.0,14142.0,0,0,0,1,"Southern Illinois University-Edwardsville, 600 Agricultural Drive, Carbondale, IL 62901",
2167,South Suburban College,Main Campus,15800 S STATE ST,SOUTH HOLLAND,IL,604731200,4,"Public, 2-year",1233.0,2470.0,3703.0,0,0,0,1,"South Suburban College, 15800 S STATE ST, SOUTH HOLLAND, IL 604731200",
2188,Ball State University,Main Campus,2000 UNIVERSITY AVE,MUNCIE,IN,47306,1,"Public, 4-year or above",8256.0,13742.0,21998.0,13,10,0,0,"Ball State University, 2000 UNIVERSITY AVE, MUNCIE, IN 47306",
2201,University of Evansville,Main Campus,1800 LINCOLN AVE,EVANSVILLE,IN,47722,2,"Private nonprofit, 4-year or above",1046.0,1368.0,2414.0,3,1,0,0,"University of Evansville, 1800 LINCOLN AVE, EVANSVILLE, IN 47722",
2335,Vincennes University,Main Campus,1002 N FIRST ST,VINCENNES,IN,47591,1,"Public, 4-year or above",10216.0,8681.0,18897.0,3,1,1,1,"Vincennes University, 1002 N FIRST ST, VINCENNES, IN 47591",
2343,Central College,Main Campus,812 UNIVERSITY,PELLA,IA,50219,2,"Private nonprofit, 4-year or above",593.0,655.0,1248.0,6,2,0,0,"Central College, 812 UNIVERSITY, PELLA, IA 50219",
2346,Cornell College,Main Campus,600 FIRST ST SW,Mount Vernon,IA,523141098,2,"Private nonprofit, 4-year or above",491.0,487.0,978.0,8,2,0,0,"Cornell College, 600 FIRST ST SW, Mount Vernon, IA 523141098",
2353,Des Moines Area Community College,Des Moines Area Com. Col. - Urban Campus,1100 7th St.,Des Moines,IA,50314,4,"Public, 2-year",10291.0,12155.0,22446.0,0,0,0,2,"Des Moines Area Community College, 1100 7th St., Des Moines, IA 50314",
2363,University of Dubuque,Main Campus,2000 UNIVERSITY AVE,DUBUQUE,IA,520015099,2,"Private nonprofit, 4-year or above",1299.0,995.0,2294.0,0,0,3,6,"University of Dubuque, 2000 UNIVERSITY AVE, DUBUQUE, IA 520015099",
2372,Graceland University-Lamoni,Graceland University,1 University Place,Lamoni,IA,50140,2,"Private nonprofit, 4-year or above",713.0,1520.0,2233.0,0,2,0,0,"Graceland University-Lamoni, 1 University Place, Lamoni, IA 50140",
2430,Marshalltown Community College,Marshalltown Community College,3700 S CENTER ST,MARSHALLTOWN,IA,50158,4,"Public, 2-year",858.0,1148.0,2006.0,1,0,0,0,"Marshalltown Community College, 3700 S CENTER ST, MARSHALLTOWN, IA 50158",
2495,Wartburg College,Main Campus,100 Wartburg Blvd.,WAVERLY,IA,506770903,2,"Private nonprofit, 4-year or above",711.0,771.0,1482.0,1,0,0,0,"Wartburg College, 100 Wartburg Blvd., WAVERLY, IA 506770903",
2517,Benedictine College,Benedictine College Main Campus,1020 N 2ND ST,ATCHISON,KS,660021499,2,"Private nonprofit, 4-year or above",1065.0,1247.0,2312.0,0,1,0,0,"Benedictine College, 1020 N 2ND ST, ATCHISON, KS 660021499",
2530,Dodge City Community College,Dodge City Community College,2501 N 14TH AVE,DODGE CITY,KS,678012399,4,"Public, 2-year",950.0,854.0,1804.0,0,0,0,4,"Dodge City Community College, 2501 N 14TH AVE, DODGE CITY, KS 678012399",
2532,Emporia State University,Emporia State University,1 Kellog Circle,EMPORIA,KS,668015087,1,"Public, 4-year or above",2105.0,3782.0,5887.0,0,1,0,0,"Emporia State University, 1 Kellog Circle, EMPORIA, KS 668015087",
2541,Haskell Indian Nations University,Main campus,155 INDIAN AVE,LAWRENCE,KS,660464800,1,"Public, 4-year or above",378.0,442.0,820.0,2,0,0,3,"Haskell Indian Nations University, 155 INDIAN AVE, LAWRENCE, KS 660464800",
2582,Northwest Kansas Technical College,Northwest Kansas Technical College,1209 HARRISON ST,GOODLAND,KS,67735,4,"Public, 2-year",570.0,242.0,812.0,3,0,0,0,"Northwest Kansas Technical College, 1209 HARRISON ST, GOODLAND, KS 67735",
2685,University of Kentucky,University of KY,104 Administration Drive,LEXINGTON,KY,405060032,1,"Public, 4-year or above",13555.0,16226.0,29781.0,17,3,4,1,"University of Kentucky, 104 Administration Drive, LEXINGTON, KY 405060032",
2723,University of Louisville,Main Campus,2301 S 3RD ST,LOUISVILLE,KY,402920001,1,"Public, 4-year or above",10538.0,11040.0,21578.0,1,0,1,0,"University of Louisville, 2301 S 3RD ST, LOUISVILLE, KY 402920001",
2754,University of Pikeville,Main Campus,147 SYCAMORE ST,PIKEVILLE,KY,41501,2,"Private nonprofit, 4-year or above",1148.0,1217.0,2365.0,0,1,0,0,"University of Pikeville, 147 SYCAMORE ST, PIKEVILLE, KY 41501",
2776,Sullivan University,Main Campus,3101 Bardstown Road,Louisville,KY,402053013,3,"Private for-profit, 4-year or above",1462.0,2000.0,3462.0,1,0,0,0,"Sullivan University, 3101 Bardstown Road, Louisville, KY 402053013",
2799,Capital Area Technical College,BR Tech Campus,3250 N ACADIAN THWY E,BATON ROUGE,LA,708056699,4,"Public, 2-year",825.0,377.0,1202.0,0,0,0,1,"Capital Area Technical College, 3250 N ACADIAN THWY E, BATON ROUGE, LA 708056699",
2806,Centenary College of Louisiana,Main Campus,2911 Centenary Boulevard,Shreveport,LA,71104,2,"Private nonprofit, 4-year or above",233.0,316.0,549.0,3,0,0,0,"Centenary College of Louisiana, 2911 Centenary Boulevard, Shreveport, LA 71104",
2824,Dillard University,Dillard University,2601 GENTILLY BLVD,NEW ORLEANS,LA,70122,2,"Private nonprofit, 4-year or above",341.0,920.0,1261.0,2,0,0,0,"Dillard University, 2601 GENTILLY BLVD, NEW ORLEANS, LA 70122",
2839,Louisiana College,Louisiana College,1140 COLLEGE DR,PINEVILLE,LA,713590381,2,"Private nonprofit, 4-year or above",529.0,564.0,1093.0,0,1,0,0,"Louisiana College, 1140 COLLEGE DR, PINEVILLE, LA 713590381",
2853,University of Louisiana at Monroe,Main Campus,700 UNIVERSITY AVE,MONROE,LA,71209,1,"Public, 4-year or above",3254.0,5784.0,9038.0,1,1,1,0,"University of Louisiana at Monroe, 700 UNIVERSITY AVE, MONROE, LA 71209",
2859,Northwestern State University of Louisiana,Main Campus,UNIVERSITY PARKWAY,NATCHITOCHES,LA,71497,1,"Public, 4-year or above",2950.0,6869.0,9819.0,5,3,2,2,"Northwestern State University of Louisiana, UNIVERSITY PARKWAY, NATCHITOCHES, LA 71497",
2896,Southern University at Shreveport,SOUTHERN UNIVERSITY SHREVEPORT,3050 MARTIN LUTHER KING DRIVE,SHREVEPORT,LA,71107,4,"Public, 2-year",1133.0,2107.0,3240.0,1,0,0,1,"Southern University at Shreveport, 3050 MARTIN LUTHER KING DRIVE, SHREVEPORT, LA 71107",
2909,Xavier University of Louisiana,Xavier University of Louisiana - Main Campus,1 Drexel Drive,NEW ORLEANS,LA,70125,2,"Private nonprofit, 4-year or above",813.0,2184.0,2997.0,0,0,1,0,"Xavier University of Louisiana, 1 Drexel Drive, NEW ORLEANS, LA 70125",
2937,University of Maine at Machias,University of Maine at Machias,116 O'BRIEN AVE,MACHIAS,ME,04654,1,"Public, 4-year or above",233.0,512.0,745.0,1,1,0,0,"University of Maine at Machias, 116 O'BRIEN AVE, MACHIAS, ME 04654",
2945,University of New England,University of New England Tangier Morocco,Rue Abi Chouaib Doukkali,Tangier,,90000,2,"Private nonprofit, 4-year or above",2248.0,6015.0,8263.0,0,1,0,0,,
2958,Unity College,Unity College,90 Quaker Hill Road,UNITY,ME,04988,2,"Private nonprofit, 4-year or above",358.0,381.0,739.0,0,8,0,0,"Unity College, 90 Quaker Hill Road, UNITY, ME 04988",
2981,Coppin State University,Coppin State University,2500 W NORTH AVE,BALTIMORE,MD,212163698,1,"Public, 4-year or above",699.0,2240.0,2939.0,0,0,2,1,"Coppin State University, 2500 W NORTH AVE, BALTIMORE, MD 212163698",
2995,Johns Hopkins University,"Johns Hopkins Medical Institutions, Baltimore, Md.",550 N. Broadway,Baltimore,MD,21205,2,"Private nonprofit, 4-year or above",11325.0,12592.0,23917.0,1,2,3,3,"Johns Hopkins University, 550 N. Broadway, Baltimore, MD 21205",
3014,University of Maryland-University College,Adelphi,3501 University Blvd East,Adelphi,MD,207838010,1,"Public, 4-year or above",31075.0,26454.0,57529.0,0,0,1,0,"University of Maryland-University College, 3501 University Blvd East, Adelphi, MD 207838010",
3021,University of Maryland-University College,Waldorf Center for Higher Education,3261 Old Washington Road,Waldorf,MD,20602,1,"Public, 4-year or above",31075.0,26454.0,57529.0,0,0,1,0,"University of Maryland-University College, 3261 Old Washington Road, Waldorf, MD 20602",
3040,"University of Maryland, Baltimore",Main Campus,220 Arch Street,Baltimore,MD,21201,1,"Public, 4-year or above",1840.0,4642.0,6482.0,0,1,0,0,"University of Maryland, Baltimore, 220 Arch Street, Baltimore, MD 21201",
3044,Maryland Institute College of Art,Main Campus,1300 MT ROYAL AVE,BALTIMORE,MD,212174191,2,"Private nonprofit, 4-year or above",553.0,1559.0,2112.0,0,2,1,0,"Maryland Institute College of Art, 1300 MT ROYAL AVE, BALTIMORE, MD 212174191",
3053,Mount St Mary's University,Main Campus,16300 OLD EMMITSBURG RD,EMMITSBURG,MD,21727,2,"Private nonprofit, 4-year or above",1058.0,1128.0,2186.0,0,1,0,1,"Mount St Mary's University, 16300 OLD EMMITSBURG RD, EMMITSBURG, MD 21727",
3057,Notre Dame of Maryland University,main campus,4701 N CHARLES ST,Baltimore,MD,212102476,2,"Private nonprofit, 4-year or above",370.0,2162.0,2532.0,1,1,0,0,"Notre Dame of Maryland University, 4701 N CHARLES ST, Baltimore, MD 212102476",
3079,Hult International Business School,London Undergraduate Campus,33-35 Commercial Road,London,,E1 1LD,2,"Private nonprofit, 4-year or above",1614.0,1229.0,2843.0,0,0,1,0,,
3083,Hult International Business School,New York Campus,41 Coope Sq,New York,NY,10003,2,"Private nonprofit, 4-year or above",1614.0,1229.0,2843.0,1,0,1,0,"Hult International Business School, 41 Coope Sq, New York, NY 10003",
3087,Anna Maria College,Main Campus,50 SUNSET LANE,PAXTON,MA,016121198,2,"Private nonprofit, 4-year or above",586.0,800.0,1386.0,0,2,0,0,"Anna Maria College, 50 SUNSET LANE, PAXTON, MA 016121198",
3089,Assumption College,Main Campus,500 SALISBURY ST,WORCESTER,MA,016091296,2,"Private nonprofit, 4-year or above",1011.0,1596.0,2607.0,7,4,0,6,"Assumption College, 500 SALISBURY ST, WORCESTER, MA 016091296",
3091,Babson College,Main Campus,231 Forest Street,Babson Park,MA,024570310,2,"Private nonprofit, 4-year or above",1782.0,1383.0,3165.0,7,2,0,2,"Babson College, 231 Forest Street, Babson Park, MA 024570310",
3104,Bentley University,Bentley University,175 FOREST ST,WALTHAM,MA,024524705,2,"Private nonprofit, 4-year or above",3046.0,2460.0,5506.0,2,0,0,1,"Bentley University, 175 FOREST ST, WALTHAM, MA 024524705",
3106,Berklee College of Music,Valencia Campus,"Palau de les Arts Reina Sofia - Anexo Sur, Av Profesor Lopez Pineiro, 1",Valencia,,46013,2,"Private nonprofit, 4-year or above",3980.0,2425.0,6405.0,0,0,3,0,,
