,Unnamed: 0,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
29,764,National University,Los Angeles,"5245 Pacific Concourse Drive, Suite 100",Los Angeles,CA,900456905,2,"Private nonprofit, 4-year or above",6755.0,10437.0,17192.0,0,0,1,0,"5245 Pacific Concourse Drive, Suite 100, Los Angeles, CA","[33.9282034, -118.3725372]",33.9282034,-118.3725372,0.0,0.1,0.0,0.0,"National University<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 17192<br>Rate per 1000 students: 0.0","National University<br>Los Angeles, CA<br>Crime Count: 1<br>Enrollment: 17192<br>Rate per 1000 students: 0.1","National University<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 17192<br>Rate per 1000 students: 0.0","National University<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 17192<br>Rate per 1000 students: 0.0"
30,792,Occidental College,Occidental College,1600 CAMPUS RD,LOS ANGELES,CA,900413392,2,"Private nonprofit, 4-year or above",863.0,1106.0,1969.0,6,4,1,2,"1600 CAMPUS RD, LOS ANGELES, CA","[34.1273233, -118.2102962]",34.1273233,-118.2102962,1.0,0.5,2.0,3.0,"Occidental College<br>Los Angeles, CA<br>Crime Count: 2<br>Enrollment: 1969<br>Rate per 1000 students: 1.0","Occidental College<br>Los Angeles, CA<br>Crime Count: 1<br>Enrollment: 1969<br>Rate per 1000 students: 0.5","Occidental College<br>Los Angeles, CA<br>Crime Count: 4<br>Enrollment: 1969<br>Rate per 1000 students: 2.0","Occidental College<br>Los Angeles, CA<br>Crime Count: 6<br>Enrollment: 1969<br>Rate per 1000 students: 3.0"
31,821,Pepperdine University,Malibu - Main Campus,24255 Pacific Coast Highway,Malibu,CA,90263,2,"Private nonprofit, 4-year or above",3197.0,4629.0,7826.0,2,0,0,0,"24255 Pacific Coast Highway, Malibu, CA","[34.0390661, -118.7056781]",34.0390661,-118.7056781,0.0,0.0,0.0,0.3,"Pepperdine University<br>Malibu, CA<br>Crime Count: 0<br>Enrollment: 7826<br>Rate per 1000 students: 0.0","Pepperdine University<br>Malibu, CA<br>Crime Count: 0<br>Enrollment: 7826<br>Rate per 1000 students: 0.0","Pepperdine University<br>Malibu, CA<br>Crime Count: 0<br>Enrollment: 7826<br>Rate per 1000 students: 0.0","Pepperdine University<br>Malibu, CA<br>Crime Count: 2<br>Enrollment: 7826<br>Rate per 1000 students: 0.3"
32,913,San Joaquin Valley College-Visalia,Hesperia Campus,9331 Mariposa Rd,Hesperia,CA,92344,6,"Private for-profit, 2-year",1651.0,3902.0,5553.0,0,0,0,1,"9331 Mariposa Rd, Hesperia, CA","[34.4206648, -117.383116]",34.4206648,-117.383116,0.2,0.0,0.0,0.0,"San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 1<br>Enrollment: 5553<br>Rate per 1000 students: 0.2","San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 0<br>Enrollment: 5553<br>Rate per 1000 students: 0.0","San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 0<br>Enrollment: 5553<br>Rate per 1000 students: 0.0","San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 0<br>Enrollment: 5553<br>Rate per 1000 students: 0.0"
33,1038,University of Colorado Denver/Anschutz Medical Campus,CU Denver - Anschutz Medical Campus,13001 E. 17th Pl.,Aurora,CO,80045,1,"Public, 4-year or above",10164.0,13796.0,23960.0,0,2,0,1,"13001 E. 17th Pl., Aurora, CO","[39.7452818, -104.8375727]",39.7452818,-104.8375727,0.0,0.0,0.1,0.0,"University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 1<br>Enrollment: 23960<br>Rate per 1000 students: 0.0","University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 0<br>Enrollment: 23960<br>Rate per 1000 students: 0.0","University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 2<br>Enrollment: 23960<br>Rate per 1000 students: 0.1","University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 0<br>Enrollment: 23960<br>Rate per 1000 students: 0.0"
34,1041,University of Colorado Boulder,Main Campus,Campus Box 17 UCB,Boulder,CO,803090017,1,"Public, 4-year or above",18983.0,14994.0,33977.0,14,12,1,8,"Campus Box 17 UCB, Boulder, CO","[40.00758099999999, -105.2659417]",40.007581,-105.2659417,0.2,0.0,0.4,0.4,"University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 8<br>Enrollment: 33977<br>Rate per 1000 students: 0.2","University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 1<br>Enrollment: 33977<br>Rate per 1000 students: 0.0","University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 12<br>Enrollment: 33977<br>Rate per 1000 students: 0.4","University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 14<br>Enrollment: 33977<br>Rate per 1000 students: 0.4"
35,1043,Colorado College,Colorado College,14 E CACHE LA POUDRE,COLORADO SPRINGS,CO,80903,2,"Private nonprofit, 4-year or above",966.0,1148.0,2114.0,14,0,0,0,"14 E CACHE LA POUDRE, COLORADO SPRINGS, CO","[38.847021, -104.823665]",38.847021,-104.823665,0.0,0.0,0.0,6.6,"Colorado College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 2114<br>Rate per 1000 students: 0.0","Colorado College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 2114<br>Rate per 1000 students: 0.0","Colorado College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 2114<br>Rate per 1000 students: 0.0","Colorado College<br>Colorado Springs, CO<br>Crime Count: 14<br>Enrollment: 2114<br>Rate per 1000 students: 6.6"
36,1049,Colorado School of Mines,Main Campus,1500 ILLINOIS ST,GOLDEN,CO,80401,1,"Public, 4-year or above",4257.0,1812.0,6069.0,8,1,0,0,"1500 ILLINOIS ST, GOLDEN, CO","[39.7510216, -105.2225769]",39.7510216,-105.2225769,0.0,0.0,0.2,1.3,"Colorado School of Mines<br>Golden, CO<br>Crime Count: 0<br>Enrollment: 6069<br>Rate per 1000 students: 0.0","Colorado School of Mines<br>Golden, CO<br>Crime Count: 0<br>Enrollment: 6069<br>Rate per 1000 students: 0.0","Colorado School of Mines<br>Golden, CO<br>Crime Count: 1<br>Enrollment: 6069<br>Rate per 1000 students: 0.2","Colorado School of Mines<br>Golden, CO<br>Crime Count: 8<br>Enrollment: 6069<br>Rate per 1000 students: 1.3"
37,1051,Colorado State University-Fort Collins,Main Campus,102 Administration Building,Fort Collins,CO,805230100,1,"Public, 4-year or above",15238.0,16618.0,31856.0,14,7,0,0,"102 Administration Building, Fort Collins, CO","[40.5747743, -105.0807267]",40.5747743,-105.0807267,0.0,0.0,0.2,0.4,"Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 0<br>Enrollment: 31856<br>Rate per 1000 students: 0.0","Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 0<br>Enrollment: 31856<br>Rate per 1000 students: 0.0","Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 7<br>Enrollment: 31856<br>Rate per 1000 students: 0.2","Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 14<br>Enrollment: 31856<br>Rate per 1000 students: 0.4"
38,1096,Pikes Peak Community College,Rampart Range Campus,11195 Highway 83,Colorado Springs,CO,809213602,4,"Public, 2-year",5631.0,7523.0,13154.0,0,1,0,0,"11195 Highway 83, Colorado Springs, CO","[38.9987273, -104.7809711]",38.9987273,-104.7809711,0.0,0.0,0.1,0.0,"Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 13154<br>Rate per 1000 students: 0.0","Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 13154<br>Rate per 1000 students: 0.0","Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 1<br>Enrollment: 13154<br>Rate per 1000 students: 0.1","Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 13154<br>Rate per 1000 students: 0.0"
39,1104,Regis University,Northwest Denver Campus,3333 REGIS BLVD,DENVER,CO,802211099,2,"Private nonprofit, 4-year or above",3141.0,5227.0,8368.0,4,3,0,1,"3333 REGIS BLVD, DENVER, CO","[39.7878312, -105.02576]",39.7878312,-105.02576,0.1,0.0,0.4,0.5,"Regis University<br>Denver, CO<br>Crime Count: 1<br>Enrollment: 8368<br>Rate per 1000 students: 0.1","Regis University<br>Denver, CO<br>Crime Count: 0<br>Enrollment: 8368<br>Rate per 1000 students: 0.0","Regis University<br>Denver, CO<br>Crime Count: 3<br>Enrollment: 8368<br>Rate per 1000 students: 0.4","Regis University<br>Denver, CO<br>Crime Count: 4<br>Enrollment: 8368<br>Rate per 1000 students: 0.5"
40,1115,Intellitec College-Grand Junction,INTELLITEC COLLEGE - Albuquerque,5001 Montgomery Blvd. NE Suite A24,Albuquerque,NM,87109,6,"Private for-profit, 2-year",434.0,508.0,942.0,0,0,0,1,"5001 Montgomery Blvd. NE Suite A24, Albuquerque, NM","[35.1327927, -106.587975]",35.1327927,-106.587975,1.1,0.0,0.0,0.0,"Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 1<br>Enrollment: 942<br>Rate per 1000 students: 1.1","Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 942<br>Rate per 1000 students: 0.0","Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 942<br>Rate per 1000 students: 0.0","Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 942<br>Rate per 1000 students: 0.0"
42,1273,Barry University,Main Campus,11300 NE 2ND AVE,MIAMI,FL,331616695,2,"Private nonprofit, 4-year or above",2600.0,4804.0,7404.0,1,1,1,0,"11300 NE 2ND AVE, MIAMI, FL","[25.8790842, -80.1963899]",25.8790842,-80.1963899,0.0,0.1,0.1,0.1,"Barry University<br>Miami, FL<br>Crime Count: 0<br>Enrollment: 7404<br>Rate per 1000 students: 0.0","Barry University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 7404<br>Rate per 1000 students: 0.1","Barry University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 7404<br>Rate per 1000 students: 0.1","Barry University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 7404<br>Rate per 1000 students: 0.1"
